Star	EW5407	EWerror5407	HFS5407	[Mn/H]5407	[Mn/Fe]5407	[Mn/Fe]error5407	EW5420	EWerror5420	HFS5420	[Mn/H]5420	[Mn/Fe]5420	[Mn/Fe]error5420
ET244	65.0	4.8	-0.24	-1.36	-0.14	0.06	55.0	4.5	-0.19	-1.76	-0.54	0.06
ET270	32.0	3.1	-0.08	-1.84	-0.30	0.06	46.0	5.9	-0.14	-1.94	-0.40	0.08
ET275	46.0	7.6	-0.12	-1.50	-0.30	0.10	59.0	6.3	-0.17	-1.62	-0.42	0.08
ET300	49.0	6.4	-0.16	-1.54	-0.17	0.10	69.0	6.2	-0.29	-1.63	-0.26	0.09
ET317	27.0	3.4	-0.07	-1.81	-0.14	0.08	32.0	4.2	-0.08	-2.00	-0.33	0.08
ET320	34.0	3.7	-0.10	-1.58	0.11	0.07	20.0	6.5	-0.04	-2.11	-0.42	0.17
ET321	 	 	 	 	 	 	17.0	4.6	-0.04	-2.35	-0.44	0.14
ET327	66.0	5.2	-0.26	-1.49	-0.18	0.07	75.0	4.3	-0.33	-1.70	-0.39	0.06
ET339	106.0	5.5	-0.65	-1.22	-0.15	0.06	117.0	3.7	-0.80	-1.44	-0.37	0.06
ET342	55.0	6.8	-0.22	-1.37	-0.04	0.09	41.0	10.2	-0.13	-1.81	-0.48	0.14
ET354	48.0	5.1	-0.20	-1.31	-0.26	0.07	49.0	7.9	-0.20	-1.58	-0.53	0.10
ET363	54.0	5.3	-0.14	-1.20	0.06	0.07	47.0	9.9	-0.12	-1.60	-0.34	0.12
ET369	 	 	 	 	 	 	16.0	3.8	-0.04	-2.14	0.19	0.13
ET376	81.0	5.4	-0.29	-1.34	-0.19	0.08	94.0	6.1	-0.38	-1.48	-0.33	0.08
ET378	76.0	4.1	-0.36	-1.46	-0.30	0.08	92.0	4.4	-0.55	-1.64	-0.48	0.08
ET379	29.0	3.2	-0.08	-1.70	-0.07	0.09	29.0	6.6	-0.08	-1.98	-0.35	0.13
ET382	36.0	4.7	-0.14	-1.57	0.15	0.09	 	 	 	
ET384	28.0	5.0	-0.09	-1.73	-0.29	0.11	32.0	8.4	-0.11	-1.96	-0.52	0.15
ET389	 	 	 	 	 	 	33.0	6.6	-0.11	-2.07	-0.49	0.13
ET392	53.0	11.0	-0.19	-1.40	0.06	0.13	24.0	8.3	-0.06	-2.09	-0.63	0.18
