Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])
1002447	14.8402541637	-33.6837805556	4709	1.27414703369	-2.0188389509	0.0236797969556	0.260868761691	-2.1871910114	0.111526431
1002473	14.8399041653	-33.7160833338	5148	2.02222510179	-2.26104087124	0.110407180793	0.36447845938	-2.25316112546	0.362948626211
1002888	14.849391667	-33.7164222219	4831	1.86789413293	-1.96604991776	0.0583951103311	0.107652578922	-2.05956610867	0.225490682337
1003015	14.8544125001	-33.6470027775	4750	1.5	-1.5	0.0	0.20000000298	-2.8301195561	0.50316014294
1003386	14.8619458357	-33.6746944443	4695	1.48757684231	-1.29198730069	0.0131891207618	0.0609336747715	-0.935926874074	0.156207307422
1003505	14.8630374988	-33.7283694447	4391	0.880923469861	-1.80777845694	0.00899162659099	0.0545003330861	-1.51755438302	0.156115826988
1003537	14.8653583368	-33.6765027777	4279	0.576046963533	-2.26342978939	0.00887153904837	0.210608694782	-2.02535179326	0.100760051626
1003694	14.8678958337	-33.7020027778	3920	0.321579908331	-1.68033550847	0.00512608228477	-0.035871745964	-1.78067493111	0.121756397039
1004135	14.8775916656	-33.701875	4669	1.50573809942	-2.08569819295	0.0318073074174	0.0901421394193	-2.1305355472	0.161281452049
1004320	14.883145833	-33.6435777781	4874	1.79649909337	-2.04293483145	0.0551268919413	-0.0081913988836	-2.65334103355	0.307373988918
1004360	14.8829291662	-33.6772722223	4769	1.93531457583	-2.03441349471	0.0564002653853	0.253373974596	-2.41212383416	0.237269977996
1004775	14.8909000079	-33.7105333328	4639	1.50646646818	-1.28533703701	0.0130329688815	-0.227568766365	-1.7272231138	0.161731723476
1004838	14.8920458317	-33.7309111108	4593	1.49075758457	-1.57129163756	0.0159372683357	0.0382380116533	-1.35012799433	0.193418828511
1004861	14.892670838	-33.7218694443	4858	1.74198242029	-1.67833362799	0.0302287015922	0.163121725349	-1.70843458876	0.12349452608
1005103	14.897391669	-33.7358888888	3872	0.394231428703	-1.2849294042	0.00606394899038	-0.372992453708	-1.77115052732	0.137851898412
1005366	14.9039833387	-33.6987944444	4429	1.06705458959	-1.40775409697	0.00730277196483	-0.0338446251341	-2.00126968893	0.11787322407
1005429	14.9046000004	-33.7183944444	4689	1.33094894886	-2.59546661844	0.0367012321811	0.410765342585	-3.04581888815	0.195938956709
