[Mn/H],-2.18976690404543
wvl,obsflux,synthflux,synthflux_up,synthflux_down,ivar
4729.09619140625,0.9787323834599294,0.9760319452776591,0.9760290364849558,0.9760335930052441,2434.084309467324
4729.41748046875,0.9794641252298969,0.9736053082250573,0.973600818106179,0.9736078564575688,2422.05781103524
4729.73828125,0.96214711574169,0.9708650343620553,0.9708587233603478,0.9708686184456237,2457.4224083484096
4730.06005859375,0.9540394920362958,0.9670429506017912,0.9670350121648875,0.9670474490619183,2549.0591021125165
4730.38134765625,0.9453553940062914,0.960975457162791,0.9609665987783542,0.9609804306719572,2599.6883396941676
4730.70263671875,0.9201530825649291,0.9521171512844427,0.952108194208274,0.9521220571357509,2613.058442273726
4731.0234375,0.9027536875039257,0.9420953061796923,0.9420865798545038,0.942099854616901,2662.5253161971928
4731.34521484375,0.914289116807863,0.9346152224389672,0.9346064471392712,0.9346194965118799,2682.208474621484
4731.66650390625,0.9151902696527199,0.9329337072400622,0.9329245863428439,0.9329379036290159,2677.11551581004
4731.98779296875,0.917110220160477,0.936525243130041,0.9365160289961959,0.936529378080433,2701.740671049226
4732.30859375,0.9118883554722493,0.9408637899383158,0.9408551104450359,0.9408677440959539,2654.4722126984925
4732.63037109375,0.9124091332381338,0.940842667289825,0.9408349389919389,0.9408464396716744,2692.195977812602
4732.95166015625,0.8927714668758663,0.9351820957831223,0.9351753233690856,0.9351858926882585,2732.191527885855
4733.27294921875,0.8774628847672852,0.9281738487535014,0.928167979757827,0.9281779012305079,2670.816215164121
4733.59423828125,0.8991908140340493,0.9266545109437061,0.9266497241784937,0.9266588579939525,2664.6248147802885
4733.91552734375,0.9339368763560433,0.9344188574986824,0.9344154058234433,0.9344232896352123,2636.4482843984774
4734.23681640625,0.946854547857964,0.9491662678816641,0.9491641596345272,0.9491704174130027,2563.044893583165
4734.55859375,0.9608304381767435,0.9647204278124359,0.9647193621772606,0.9647239164667206,2553.2240349097465
4734.87939453125,0.9700060876085453,0.9754379304816622,0.9754374874872372,0.9754405207473534,2531.165017377963
4735.20068359375,0.9703414442127667,0.9787146552508142,0.9787145035473644,0.9787163269312932,2502.4790220622644
4735.5224609375,0.979548916599321,0.9740976847480723,0.9740976272061823,0.9740986204667259,2543.0257828610743
4735.84375,0.9367363637792423,0.9624003115504327,0.9624001824538172,0.9624008382513931,2580.68728332093
4736.1650390625,0.9298604523047662,0.9460542407793964,0.9460534760547795,0.9460550067544718,2587.735453608101
4736.486328125,0.9079458075112133,0.9298672565998808,0.9298631376899608,0.9298705242953536,2613.353244330556
