Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)	vt
Stet-M2-S109	323.40533706347014	-0.84834614118	5368	3.1440656185150133	-1.7277852993661746	0.10506850713649923	0.23832649233116746	-1.7848068801384234	0.19968657852829225	1.3012293920585771	1.3978563250091192
Stet-M2-S127	323.40428090096003	-0.8280567105600001	5205	2.821289936701457	-1.7031774872522678	0.10190970727353052	0.2401985426184401	-2.171776661819308	0.122141591020849	1.082363069779074	1.4743541627147905
Stet-M2-S224	323.41502879461	-0.79338491758	4982	2.252619345982869	-1.6236351424638165	0.10124588369814687	0.16328608716062004	-2.0527168542248337	0.11020011585541008	6.170345626637149	1.6091290946810293
Stet-M2-S248	323.42476628621	-0.8045842181300001	4661	1.6685081720352166	-1.5657867198952922	0.10108933774209064	0.19148970357335315	-2.2281294825357523	0.1248034477571152	34.675296171021074	1.7475634449259356
Stet-M2-S733	323.27765965859	-0.83936046653	5327	3.096502860387166	-1.70483310089779	0.10244682573504922	0.16470396286621708	-2.0662212116737915	0.1650959343973472	1.011857413636538	1.409128698849847
Stet-M2-S80	323.39725265503	-0.82597122404	4701	1.697513659795125	-1.606539012281074	0.1010821291631506	0.19383544988618506	-2.0652122573725413	0.06738443770176285	11.050166615001883	1.7406891442265635
An08-A15236	323.2972412109375	-0.7969326376914978	4890	2.1363068421681723	-1.448210337725551	0.10136630333413073	0.2172097159588938	-1.8506597509168528	0.12228047064009742	5.5387651860009175	1.6366951584872127
An08-A14127	323.330810546875	-0.8008593320846558	5231	2.677436828613281	-1.4408162023887607	0.10183984682069573	0.30114554156360496	-2.027908165184718	0.1589423899788405	1.5278578472915778	1.508447349828998
An08-A6080	323.3379211425781	-0.8265566229820251	5256	2.811673800150553	-1.6445248431026656	0.1027925688567976	0.14659866203172944	-2.1619369965107342	0.2224943599739714	1.03042031148028	1.4766331871105982
An08-A9455	323.34002685546875	-0.8161545395851135	5041	2.420508782068888	-1.629483355065799	0.10136708786402376	0.2024753292265184	-1.8421488088078608	0.1346346227502952	3.971784465670072	1.5693392977482374
An08-A13934	323.344970703125	-0.8015540242195129	5296	3.3585630856002044	-1.5995366756967413	0.10308894923446237	0.2862063762620276	-2.198948118921416	0.15787098740989775	1.2292051037399945	1.3470204245683965
An08-A1045	323.3471984863281	-0.8426828384399414	5147	2.7234528859456386	-1.5257755488247065	0.10214170828686474	0.2678215222806419	-2.0156205615841145	0.15001097327831295	1.5605691418884031	1.4975415440821487
An08-A3993	323.35699462890625	-0.8331129550933838	5204	2.8090879122416177	-1.7517042312235511	0.10434720871470464	0.16048039296498334	-1.7909247367224557	0.1570691511753195	1.0709488171733874	1.4772460425539555
An08-A3051	323.3587646484375	-0.8361327052116394	4814	1.9165982405344648	-1.5790896992193604	0.10116122141473573	0.21982142654687686	-2.107311690546656	0.0842551999739938	3.5302402291605106	1.6887660978339494
An08-A12662	323.3722839355469	-0.8057886958122253	5314	3.0555500189463296	-1.6799603712007276	0.1037329004413262	0.3554557718940222	-1.6499167046778918	0.16350395137526635	1.1293287788572757	1.4188345224129022
An08-A12019	323.3739013671875	-0.807982861995697	4817	1.9658277829488116	-1.5819430108748391	0.10119358421302137	0.15701639391756542	-2.195841557165124	0.12535016748898448	7.166178488033719	1.6770986961115593
An08-A12301	323.37744140625	-0.8069555759429932	5035	2.3347766399383545	-1.5922889276605598	0.10139713198415144	0.1829060960202348	-2.293482310937052	0.1390025565363069	3.3597776055088096	1.5896578157295558
An08-A9587	323.37774658203125	-0.8157073855400085	4913	2.1729813416798907	-1.7576676638193662	0.10129166055727866	0.23135235418098696	-1.7576676638193662	0.10303573227351434	6.053514994435372	1.628003301976149
An08-A6898	323.3890075683594	-0.8240120410919191	5165	2.6708171367645264	-1.6927118375190904	0.1017423829663595	0.23809188541450005	-1.7905156983104449	0.1033811696189975	1.6452273084244478	1.5100162168200377
An08-A10340	323.39105224609375	-0.8132891058921814	5348	2.983645995457967	-1.523822841564166	0.10287905528768004	0.12532989721170434	-1.6467546718805552	0.17770185542977915	1.3711409211337515	1.4358757762282213
