Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	dlam	error(dlam)	[Mn/H]	error([Mn/H])	chisq(reduced)
1007217	14.9438499928	-33.679152778	4681	1.42569164435	-1.66865458935	0.0	-0.126631003817	6.14787372853	0.513194944377	1.67532552635	0.0503514832205	4.27102031634
1007258	14.9451416651	-33.6639333333	4440	1.2162104845	-1.72252585538	0.0	0.124430921028	0.783974623881	0.0347392593049	-1.91888899063	0.0949741117013	3.64459253301
1007377	14.9475124995	-33.6711527777	4892	2.09893409411	-2.24486385488	0.0	0.0424064618338	0.895156241391	0.112924637211	-2.12464330523	0.212442927022	0.794968181388
1007395	14.94763333	-33.6729916668	4998	1.78980489572	-2.07983571857	0.0	0.277067849513	0.643329715311	0.0455505076728	-2.40496272099	0.164622787892	1.15388833026
1007627	14.9517916679	-33.6765222221	4888	2.08718037605	-1.6193059526	0.0	-0.154173074309	0.718863690996	0.0481481828108	-1.50503940546	0.109164020022	0.668183689837
1007815	14.9553624948	-33.6880944443	4674	1.56493302186	-1.31880488779	0.0	-0.177970117966	0.817833667916	0.0445054049519	-0.62934119521	0.11630441727	4.16399935897
1008349	14.9662583351	-33.6960666667	4533	1.41960370541	-1.09838507142	0.0	0.0197712840249	0.72980853575	0.0236344535973	-1.2133633663	0.0797059566796	2.96825885579
1008361	14.9671750069	-33.672602778	4795	1.7794153293	-1.59132980329	0.0	0.109814905588	0.781605616106	0.0359272156413	-1.90216687122	0.0966044233658	1.22565906011
1008390	14.9666208267	-33.71	4510	1.10709659259	-1.44988050546	0.0	0.0189513320061	0.786375564652	0.0311556308275	-1.54306468158	0.0901258682635	2.44018929833
1008579	14.9695124944	-33.7177777778	4597	1.51691559951	-1.80661311528	0.0	0.141417304528	0.688706931584	0.123542461616	-2.9948689266	0.721384979545	27.4120459753
1008651	14.9701999982	-33.744341667	4487	1.18971248468	-1.16968514584	0.0	-0.0388252748279	0.665211017061	0.0172205020688	-1.54496578703	0.0694301833016	3.28898273529
1008773	14.9734499931	-33.7210000001	4803	2.16347336769	-2.43382281626	0.0	0.494963272849	0.643720723476	0.132680180828	-2.71433613706	0.443852497223	2.38276713719
1008833	14.9758833408	-33.6741222223	4260	0.661261399587	-1.28497043752	0.0	-0.0399919511864	0.759978794678	0.0201964767973	-1.42747951047	0.0628318948483	8.72753054211
1009280	14.9844458262	-33.6753	4499	1.2708114783	-2.32371788123	0.0	0.358162383425	0.714261870176	0.0293850683479	-2.80550638316	0.102861119689	1.60176729081
1009421	14.985041666	-33.7469166671	4613	1.34171513716	-2.20253833284	0.0	0.175193960447	0.688016943804	0.0496200752503	-2.41947241285	0.121767658115	2.13184697934
1009527	14.9873666604	-33.7379388889	4428	1.17051728566	-1.14186393411	0.0	-0.0464116240824	0.684355393058	0.0148456607927	-1.60499865806	0.0588391929541	2.86077497903
1009673	14.9894958337	-33.774588889	5061	1.85552966595	-2.63999656418	0.0	0.400004702935	0.625283316921	0.250530062625	-2.22778931183	0.562443768052	15.5453068549
1009698	14.9912583351	-33.7224777778	4543	1.36835161845	-1.68107192391	0.0	0.1457446485	0.77057998439	0.0241971209099	-1.6975268524	0.0608222901195	1.56134924637
1009740	14.9919750055	-33.7205555556	4590	1.53348624706	-1.47237949478	0.0	0.188153424503	0.685642862181	0.0212261345701	-1.49585411626	0.0645867794881	1.35272262852
1009925	14.9952708403	-33.7280083338	4716	1.87107268969	-1.95762064654	0.0	-0.090621091609	0.840395488534	0.0517299258336	-1.88969380611	0.104105718349	0.989853365753
1009948	14.9959375064	-33.7240222221	4574	1.58124339581	-1.60916561392	0.0	-0.0482750079779	0.715803857785	0.0284493772692	-1.85399355585	0.0851812979491	1.57746289843
1010084	14.9987833341	-33.7102305561	4824	1.90650375684	-1.96195504177	0.0	0.16736609696	0.721102234698	0.0459258524321	-1.82323712429	0.105291072353	1.08379506339
1010208	15.0001791667	-33.7579472224	4672	1.38872456551	-2.68758367343	0.0	0.674124877571	0.91340218755	0.0822012414941	-2.19389007764	0.0921199247147	1.02568244351
1010231	15.0009875	-33.7465555551	4355	0.809410472711	-2.06931047705	0.0	0.257728570181	0.688989932422	0.0219428173013	-2.16921941729	0.0605189716263	4.83387489289
1010958	15.0142041663	-33.7791111109	4841	1.53514957428	-2.1052460498	0.0	0.0997801655183	0.723486286882	0.0650181351562	-2.22164255764	0.126632987488	1.24682950374
1010968	15.0163666666	-33.694152778	4776	1.96114206314	-1.37370805164	0.0	-0.347167394887	0.749871704001	0.0374915382142	-1.5874047419	0.0967011984227	0.850956971562
1011048	15.0173166672	-33.7256	4572	1.18402087688	-2.27476650603	0.0	0.0386997016539	0.685044022707	0.0261678944814	-2.26585049486	0.0668103509339	1.72703399121
1011382	15.0218333324	-33.8052333334	4969	2.09303474426	-2.02315601553	0.0	0.365896519672	0.629883052448	0.101943646323	-2.31499411983	0.238272123006	0.917794660764
1011455	15.0255791664	-33.7264111116	4679	1.52314436436	-1.21842037657	0.0	-0.161218618624	0.75578889004	0.0244375043051	-1.43048911226	0.0695139915034	1.26453311837
1011569	15.0265999993	-33.7740027777	4812	1.68892049789	-2.01072912921	0.0	-0.0945898549106	0.721542192969	0.0497548453495	-2.13941306787	0.133974339492	1.2787877853
1011721	15.0290166676	-33.7858999999	4474	1.01336328189	-1.86166173096	0.0	0.155246964019	0.744936773017	0.0242672563208	-2.03175351004	0.0640418157331	2.40999260489
1012164	15.0369541685	-33.8081750001	4955	1.8557441632	-1.4019545162	0.0	-0.130429297088	0.682391735658	0.0456393728969	-1.4713097658	0.121661140615	1.67207902894
1012290	15.0415083329	-33.7318277783	4894	1.75047210852	-1.29652655008	0.0	-0.0250426276145	0.663373399679	0.0274205422659	-1.54061557811	0.084789906242	1.14742813159
1012992	15.0527999997	-33.8119055557	4814	1.77814928691	-1.9882122753	0.0	0.18374667177	0.762487564663	0.0621700401342	-2.01124753402	0.134869456698	1.08433738444
1013086	15.0558000008	-33.7661222225	4662	1.59374241034	-1.35635145157	0.0	-0.205978456899	0.888594264695	0.0444644561761	-2.06526538462	0.127611453818	1.53144875129
1013142	15.0567625006	-33.767425	4982	2.11566750209	-1.60593600374	0.0	0.308429577645	1.21585998206	0.165031125294	-1.52343687702	0.23042068299	0.8521958103
