apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.4230.2M21280743+1201527,2M21280743+1201527,322.030981,12.031333,4723.98,2.741616,0.15662,-0.045616,0.11285,-0.1559818,0.0427035
apogee.apo25m.s.stars.4230.2M21280145+1242173,2M21280145+1242173,322.006043,12.704817,4609.781,2.409201,0.16242,0.14097,0.11206,0.03476414,0.0193766
apogee.apo25m.s.stars.4230.2M21275244+1231076,2M21275244+1231076,321.968505,12.518786,4316,1.509626,0.23123,-0.85077,0.27981,-0.2910729,0.03073456
apogee.apo25m.s.stars.4230.2M21274880+1137223,2M21274880+1137223,321.95334,11.622872,4533.653,2.596215,0.14334,0.16967,0.097519,0.01702231,0.01859418
apogee.apo25m.s.stars.4230.2M21274854+1119402,2M21274854+1119402,321.952275,11.327852,4614.735,2.189828,0.1597,-0.68886,0.29322,-0.2266398,0.04504993
apogee.apo25m.s.stars.4230.2M21274637+1150576,2M21274637+1150576,321.943239,11.849361,4734.99,2.42466,0.189,0.11239,0.018102,-0.0001434982,0.02052045
apogee.apo25m.s.stars.4230.2M21274215+1123228,2M21274215+1123228,321.92563,11.389671,4612.14,2.206371,0.19687,-0.25568,0.11657,-0.09242418,0.02422971
apogee.apo25m.s.stars.4230.2M21274153+1231369,2M21274153+1231369,321.923069,12.526924,4895.81,2.251077,0.23355,-0.59276,0.3071,-0.1371812,0.04289401
apogee.apo25m.s.stars.4230.2M21273218+1220246,2M21273218+1220246,321.88409,12.340175,4639.143,2.380067,0.15137,-0.030235,0.16552,-0.04825266,0.02153771
apogee.apo25m.s.stars.4230.2M21273157+1205319,2M21273157+1205319,321.881578,12.092218,4767.969,2.942455,0.099627,-0.20291,0.22476,-0.09218203,0.02476285
apogee.apo25m.s.stars.4230.2M21273033+1237392,2M21273033+1237392,321.876397,12.627565,4908.64,3.382189,-0.046433,0.21811,0.049592,0.04137036,0.03934774
apogee.apo25m.s.stars.4230.2M21272930+1224107,2M21272930+1224107,321.872115,12.402994,5014.516,3.388229,0.085403,-0.065986,0.04591,0.002968602,0.03178928
apogee.apo25m.s.stars.4230.2M21272768+1234257,2M21272768+1234257,321.865357,12.573823,5032.014,3.272616,-0.0097453,-0.21222,0.04562,-0.06504552,0.0271599
