Title: Lithium-Rich Giants in Globular Clusters
Authors: Kirby E.N., Guhathakurta P., Zhang A.J., Hong J., Guo M., Guo R.,
         Cohen J.G.
Table: Stellar Properties and Lithium Abundances
================================================================================
Byte-by-byte Description of file: table_catalog.dat
--------------------------------------------------------------------------------
   Bytes Format Units     Label   Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---       GC      Globular cluster
  10- 24 A15    ---       Name    Star name
  26- 27 I2     h         RAh     Hour of Right Ascension (J2000)
  29- 30 I2     min       RAm     Minute of Right Ascension (J2000)
  32- 36 F5.2   s         RAs     Second of Right Ascension (J2000)
      38 A1     ---       DE-     Sign of the Declination (J2000)
  39- 40 I2     deg       DEd     Degree of Declination (J2000)
  42- 43 I2     arcmin    DEm     Arcminute of Declination (J2000)
  45- 48 F4.1   arcsec    DEs     Arcsecond of Declination (J2000)
  50- 52 A3     ---       Branch  RGB or AGB star
  54- 58 F5.2   mag       V       Extinction-corrected apparent V magnitude
  60- 63 F4.2   mag       B-V     ? Reddening-corrected B-V color
  65- 68 F4.2   mag       V-I     ? Reddening-corrected V-I color
  70- 74 F5.2   mag       M_V     Extinction-corrected absolute V magnitude
  76- 79 I4     K         Teff    Effective temperature
  81- 84 F4.2   cm/s^2    logg    Surface gravity
  86- 90 F5.2   [Sun]     [Fe/H]  Iron abundance relative to the Sun
  92- 95 F4.2   [Sun]   e_[Fe/H]  Uncertainty in [Fe/H]
      97 A1     ---       LiUL    ? Upper limit flag for A(Li)
  98-102 F5.2   ---       A(Li)   Lithium abundance
 104-107 F4.2   ---     e_A(Li)   ? Uncertainty in A(Li)
--------------------------------------------------------------------------------
NGC 288  10922           00 52 37.16 -26 36 26.1 RGB 16.20      0.92  1.44 5080 2.68 -1.36 0.11 < 1.10     
NGC 288  N288-S53        00 52 37.34 -26 38 11.5 RGB 17.48 0.64 0.81  2.72 5390 3.32 -1.16 0.11 < 1.40     
NGC 288  385             00 52 37.44 -26 39 28.3 RGB 16.50      0.88  1.74 5165 2.84 -1.23 0.11 < 1.08     
NGC 288  N288-S54        00 52 37.63 -26 33 56.0 RGB 16.74 0.67 0.84  1.98 5267 2.98 -1.16 0.11 < 2.00     
NGC 288  3041            00 52 37.63 -26 36 30.2 RGB 17.32      0.84  2.56 5299 3.22 -1.29 0.11   1.61 0.23
NGC 288  10891           00 52 37.74 -26 36 36.8 RGB 16.89      0.79  2.13 5212 3.08 -1.47 0.11 < 1.39     
NGC 288  4647            00 52 37.76 -26 35 38.4 RGB 17.04      0.84  2.28 5243 3.10 -1.32 0.11 < 1.72     
NGC 288  3721            00 52 37.94 -26 36 06.3 RGB 14.80      1.02  0.04 4738 1.98 -1.46 0.11 <-0.16     
NGC 288  5235            00 52 38.03 -26 35 23.0 RGB 17.91      0.73  3.15 5718 3.59 -1.56 0.11 < 1.58     
NGC 288  N288-S52        00 52 38.18 -26 35 32.6 RGB 16.96 0.61 0.79  2.20 5327 3.11 -1.44 0.12 < 1.79     
NGC 288  6299            00 52 38.82 -26 34 45.6 RGB 16.18      0.92  1.42 5101 2.67 -1.28 0.11 < 1.01     
NGC 288  5856            00 52 38.92 -26 35 01.4 RGB 16.93      0.84  2.17 5178 3.05 -1.38 0.11 < 1.49     
NGC 288  4150            00 52 39.12 -26 35 52.0 RGB 16.49      0.89  1.73 5199 2.83 -1.29 0.11 < 1.76     
NGC 288  2816            00 52 39.16 -26 36 38.8 RGB 17.51      0.83  2.75 5324 3.31 -1.33 0.11 < 1.84     
NGC 288  2987            00 52 39.40 -26 36 32.4 RGB 17.56      0.82  2.80 5338 3.34 -1.23 0.11 < 1.46     
NGC 288  3799            00 52 39.44 -26 36 03.6 RGB 17.10      0.83  2.34 5310 3.13 -1.32 0.11 < 1.68     
NGC 288  N288-S99        00 52 39.58 -26 38 46.3 RGB 16.60 0.68 0.84  1.84 5240 2.92 -1.28 0.11 < 1.96     
NGC 288  2393            00 52 39.66 -26 36 57.6 RGB 15.95      0.90  1.19 5026 2.59 -1.40 0.11 < 1.28     
NGC 288  5057            00 52 39.73 -26 35 27.8 RGB 15.31      0.97  0.55 4955 2.25 -1.25 0.11   0.90 0.15
NGC 288  2498            00 52 39.91 -26 36 52.7 RGB 16.46      0.88  1.70 5145 2.82 -1.42 0.11 < 1.58     
NGC 288  N288-S102       00 52 39.95 -26 38 30.1 RGB 17.15 0.66 0.83  2.39 5303 3.16 -1.39 0.12 < 2.16     
NGC 288  3369            00 52 40.28 -26 36 19.5 RGB 15.82      0.93  1.06 5011 2.51 -1.37 0.11   1.27 0.12
