Title: Lithium-Rich Giants in Globular Clusters
Authors: Kirby E.N., Guhathakurta P., Zhang A.J., Hong J., Guo M., Guo R.,
         Cohen J.G.
Table: Stellar Properties and Lithium Abundances
================================================================================
Byte-by-byte Description of file: table_catalog.dat
--------------------------------------------------------------------------------
   Bytes Format Units     Label   Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---       GC      Globular cluster
  10- 24 A15    ---       Name    Star name
  26- 27 I2     h         RAh     Hour of Right Ascension (J2000)
  29- 30 I2     min       RAm     Minute of Right Ascension (J2000)
  32- 36 F5.2   s         RAs     Second of Right Ascension (J2000)
      38 A1     ---       DE-     Sign of the Declination (J2000)
  39- 40 I2     deg       DEd     Degree of Declination (J2000)
  42- 43 I2     arcmin    DEm     Arcminute of Declination (J2000)
  45- 48 F4.1   arcsec    DEs     Arcsecond of Declination (J2000)
  50- 52 A3     ---       Branch  RGB or AGB star
  54- 58 F5.2   mag       V       Extinction-corrected apparent V magnitude
  60- 63 F4.2   mag       B-V     ? Reddening-corrected B-V color
  65- 68 F4.2   mag       V-I     ? Reddening-corrected V-I color
  70- 74 F5.2   mag       M_V     Extinction-corrected absolute V magnitude
  76- 79 I4     K         Teff    Effective temperature
  81- 84 F4.2   cm/s^2    logg    Surface gravity
  86- 90 F5.2   [Sun]     [Fe/H]  Iron abundance relative to the Sun
  92- 95 F4.2   [Sun]   e_[Fe/H]  Uncertainty in [Fe/H]
      97 A1     ---       LiUL    ? Upper limit flag for A(Li)
  98-102 F5.2   ---       A(Li)   Lithium abundance
 104-107 F4.2   ---     e_A(Li)   ? Uncertainty in A(Li)
--------------------------------------------------------------------------------
NGC 5634 Bel02-10332     14 29 48.88 -05 57 13.6 RGB 20.20      0.74  3.18 5605 3.58 -1.98 0.20 < 2.56     
NGC 5634 Bel02-284       14 29 49.24 -05 57 49.7 RGB 18.41      0.89  1.39 5103 2.68 -1.85 0.11 < 1.58     
NGC 5634 Stet-N5634-S450 14 29 49.26 -05 57 49.6 RGB 18.40 0.66 0.87  1.37 5201 2.69 -1.89 0.11 < 1.74     
NGC 5634 Stet-N5634-S461 14 29 50.85 -05 57 31.5 RGB 19.01      0.84  1.98 5283 2.97 -1.91 0.13 < 1.38     
NGC 5634 Bel02-304       14 29 51.10 -05 57 44.3 RGB 18.47      0.88  1.45 5185 2.72 -2.00 0.11 < 1.45     
NGC 5634 Bel02-10142     14 29 51.92 -05 58 08.3 RGB 19.03      0.84  2.00 5272 2.98 -1.80 0.12 < 2.24     
NGC 5634 Stet-N5634-S534 14 30 02.91 -05 57 25.7 RGB 15.82 0.95 1.11 -1.20 4560 1.38 -1.95 0.11 < 0.17     
NGC 5897 Tes01-ESO-5704  15 17 01.48 -21 01 14.9 RGB 18.04      0.83  2.52 5322 3.21 -2.14 0.12   2.00 0.21
NGC 5897 Tes01-ESO-6884  15 17 04.03 -21 02 48.8 RGB 17.89      0.82  2.37 5357 3.15 -2.08 0.11 < 1.66     
NGC 5897 Tes01-ESO-6476  15 17 05.44 -21 01 19.0 AGB 15.09      1.02 -0.43 4811 1.79 -2.11 0.11 < 0.42     
NGC 5897 Tes01-ESO-6896  15 17 05.78 -21 03 41.3 AGB 16.05      0.80  0.53 5495 2.41 -2.22 0.11 < 1.47     
NGC 5897 Tes01-ESO-6034  15 17 06.57 -21 00 43.2 RGB 18.62      0.78  3.11 5522 3.51 -2.21 0.14 < 2.41     
NGC 5897 Tes01-ESO-6903  15 17 07.41 -21 02 39.7 RGB 16.14      0.95  0.62 4964 2.30 -2.18 0.11 < 1.32     
NGC 5897 Tes01-ESO-5758  15 17 08.06 -21 00 35.1 RGB 18.20      0.84  2.68 5271 3.27 -2.19 0.12 < 1.44     
NGC 5897 Tes01-ESO-5722  15 17 08.43 -21 01 05.1 RGB 18.70      0.78  3.18 5530 3.54 -2.19 0.14 < 2.61     
NGC 5897 Tes01-ESO-5730  15 17 09.69 -21 00 56.9 RGB 18.63      0.74  3.11 5668 3.56 -1.97 0.13 < 2.34     
NGC 5897 Tes01-ESO-5800  15 17 09.79 -21 00 12.2 RGB 18.71      0.78  3.19 5519 3.55 -2.18 0.13 < 1.90     
NGC 5897 Tes01-ESO-6330  15 17 10.28 -20 00 53.4 RGB 18.44      0.81  2.92 5429 3.40 -2.22 0.33 < 3.01     
NGC 5897 Tes01-ESO-6878  15 17 10.42 -21 03 16.3 RGB 18.78      0.77  3.26 5562 3.59 -2.26 0.15 < 2.16     
NGC 5897 Tes01-ESO-6876  15 17 10.48 -21 03 21.7 RGB 17.93      0.84  2.41 5281 3.15 -2.05 0.11 < 1.30     
NGC 5897 Tes01-ESO-6049  15 17 11.10 -21 00 30.7 RGB 17.15      0.89  1.63 5147 2.78 -2.15 0.11 < 1.56     
NGC 5897 Tes01-ESO-7154  15 17 11.45 -20 58 38.8 AGB 16.02      0.90  0.50 4992 2.30 -2.10 0.11   1.15 0.13
NGC 5897 Tes01-ESO-5733  15 17 11.61 -21 00 55.2 RGB 18.14      0.82  2.63 5357 3.26 -2.11 0.12 < 1.43     
NGC 5897 Tes01-ESO-6879  15 17 11.93 -21 03 01.8 RGB 18.27      0.80  2.75 5461 3.34 -2.00 0.12 < 2.07     
NGC 5897 Tes01-ESO-6172  15 17 12.32 -21 01 41.1 RGB 15.73      0.96  0.22 4892 2.12 -2.10 0.11 < 1.29     
NGC 5897 Tes01-ESO-22    15 17 12.48 -20 58 53.1 RGB 18.45      0.80  2.93 5431 3.41 -2.92 0.48 < 2.08     
NGC 5897 Tes01-ESO-5969  15 17 12.75 -21 01 29.8 RGB 18.48      0.80  2.96 5446 3.43 -2.21 0.12 < 1.95     
NGC 5897 Tes01-ESO-7139  15 17 13.39 -20 56 11.7 RGB 18.54      0.77  3.03 5538 3.49 -1.96 0.11 < 2.02     
NGC 5897 Tes01-ESO-6271  15 17 13.67 -21 01 35.9 RGB 17.78      0.86  2.26 5219 3.08 -2.10 0.11 < 1.38     
NGC 5897 Tes01-ESO-6842  15 17 14.01 -21 03 27.4 RGB 17.56      0.86  2.04 5204 2.98 -2.13 0.11 < 1.33     
NGC 5897 Tes01-ESO-7129  15 17 14.02 -20 58 18.9 RGB 18.31      0.81  2.79 5419 3.35 -2.02 0.11   1.79 0.20
NGC 5897 Tes01-ESO-6509  15 17 14.12 -20 59 32.0 RGB 15.07      1.06 -0.45 4729 1.74 -1.91 0.11 < 0.49     
NGC 5897 Tes01-ESO-6395  15 17 14.16 -21 00 05.4 RGB 18.73      0.79  3.21 5490 3.55 -1.97 0.12 < 2.17     
NGC 5897 Tes01-ESO-7142  15 17 14.24 -20 55 31.8 RGB 17.81      0.86  2.30 5228 3.09 -2.31 0.13 < 1.45     
NGC 5897 Tes01-ESO-856   15 17 14.94 -21 00 40.1 RGB 18.13      0.83  2.61 5326 3.25 -1.79 0.11 < 2.07     
NGC 5897 Tes01-ESO-716   15 17 15.04 -20 59 37.7 RGB 17.60      0.87  2.08 5212 2.99 -2.08 0.11 < 1.32     
NGC 5897 Tes01-ESO-931   15 17 15.33 -21 01 06.3 RGB 15.27      1.04 -0.25 4843 1.84 -2.07 0.11 < 0.17     
NGC 5897 Tes01-ESO-453   15 17 15.77 -21 02 09.6 RGB 15.91      0.97  0.39 4918 2.18 -2.18 0.11   1.13 0.14
NGC 5897 Tes01-ESO-96    15 17 15.86 -20 56 18.9 RGB 18.49      0.84  2.97 5284 3.39 -2.13 0.12 < 2.23     
NGC 5897 Tes01-ESO-15    15 17 16.44 -20 56 26.6 RGB 18.22      0.83  2.70 5319 3.29 -2.16 0.11 < 1.92     
NGC 5897 Tes01-WF3-1716  15 17 16.76 -21 00 11.5 RGB 17.17      0.87  1.65 5178 2.81 -2.17 0.11 < 1.34     
NGC 5897 Tes01-ESO-945   15 17 16.88 -21 01 18.3 RGB 18.68      0.81  3.16 5425 3.51 -2.18 0.12 < 1.87     
NGC 5897 Tes01-ESO-12    15 17 16.95 -20 57 10.1 RGB 17.78      0.84  2.26 5264 3.09 -2.19 0.11 < 1.47     
NGC 5897 Tes01-ESO-454   15 17 17.00 -21 02 08.7 RGB 18.27      0.82  2.75 5392 3.32 -2.35 0.14 < 1.50     
NGC 5897 Tes01-ESO-28    15 17 17.01 -20 57 52.5 RGB 18.26      0.82  2.74 5361 3.32 -2.11 0.11 < 1.77     
NGC 5897 Tes01-ESO-52    15 17 17.31 -20 58 30.5 RGB 17.56      0.88  2.04 5170 2.96 -2.27 0.11 < 1.46     
NGC 5897 Tes01-ESO-884   15 17 17.41 -20 59 21.5 RGB 18.53      0.83  3.01 5360 3.42 -2.01 0.12 < 2.18     
NGC 5897 Tes01-ESO-434   15 17 17.45 -21 02 16.6 RGB 18.62      0.81  3.10 5406 3.48 -2.02 0.12 < 1.55     
NGC 5897 Tes01-ESO-982   15 17 17.48 -21 01 31.4 RGB 18.33      0.84  2.82 5275 3.32 -2.15 0.12 < 1.59     
NGC 5897 Tes01-ESO-3     15 17 17.72 -20 59 00.1 RGB 18.06      0.85  2.55 5226 3.20 -2.34 0.12 < 2.09     
NGC 5897 Tes01-ESO-93    15 17 17.84 -20 57 00.8 RGB 18.69      0.80  3.17 5431 3.51 -2.24 0.12 < 1.81     
NGC 5897 Tes01-ESO-95    15 17 17.92 -20 56 33.1 RGB 18.56      0.83  3.04 5349 3.43 -2.22 0.12 < 1.44     
NGC 5897 Tes01-ESO-929   15 17 17.99 -21 01 18.9 RGB 18.23      0.89  2.71 5122 3.23 -2.39 0.12 < 1.68     
NGC 5897 Tes01-WF3-1193  15 17 18.06 -21 00 26.6 RGB 17.46      0.88  1.94 5159 2.92 -2.21 0.11 < 1.75     
NGC 5897 Tes01-WF3-1699  15 17 18.12 -21 00 00.4 RGB 18.51      0.83  2.99 5266 3.41 -2.21 0.11 < 1.71     
NGC 5897 Tes01-WF3-902   15 17 18.33 -21 00 36.5 RGB 18.72      0.83  3.20 5329 3.50 -2.13 0.12 < 1.98     
NGC 5897 Tes01-WF3-909   15 17 18.44 -21 00 35.4 RGB 18.31      0.87  2.80 5211 3.29 -2.26 0.12 < 1.85     
NGC 5897 Tes01-WF3-1454  15 17 18.53 -21 00 10.3 RGB 18.61      0.85  3.09 5246 3.43 -2.47 0.15 < 2.13     
NGC 5897 Tes01-WF3-1145  15 17 18.53 -21 00 24.5 RGB 18.84      0.82  3.32 5368 3.57 -2.32 0.14 < 2.06     
NGC 5897 Tes01-ESO-3107  15 17 18.58 -21 01 30.2 RGB 14.45      1.12 -1.07 4614 1.41 -2.03 0.11 < 0.29     
NGC 5897 Tes01-WF3-577   15 17 18.64 -21 00 46.4 RGB 18.59      0.82  3.07 5367 3.45 -2.13 0.13 < 1.70     
NGC 5897 Tes01-ESO-7     15 17 18.71 -20 58 18.1 RGB 18.47      0.74  2.95 5684 3.49 -2.36 0.40 < 3.54     
NGC 5897 Tes01-WF3-1726  15 17 18.78 -20 59 53.5 RGB 18.74      0.77  3.22 5536 3.57 -2.15 0.16 < 2.58     
NGC 5897 Tes01-WF3-794   15 17 18.99 -21 00 35.4 RGB 16.59      0.95  1.07 5014 2.49 -2.25 0.11 < 1.33     
NGC 5897 Tes01-WF3-1542  15 17 19.06 -20 00 01.3 RGB 17.29      0.92  1.78 5050 2.82 -2.07 0.12 < 1.83     
NGC 5897 Tes01-ESO-417   15 17 19.20 -21 03 08.0 RGB 18.03      0.85  2.51 5239 3.19 -2.16 0.12 < 1.76     
NGC 5897 Tes01-ESO-1279  15 17 19.44 -20 59 16.8 RGB 18.61      0.79  3.09 5462 3.49 -2.07 0.11 < 1.73     
NGC 5897 Tes01-WF3-1890  15 17 19.60 -21 01 02.2 RGB 17.36      0.84  1.84 5263 2.92 -2.18 0.11   1.52 0.19
NGC 5897 Tes01-WF2-1984  15 17 19.61 -21 01 17.7 RGB 18.27      0.84  2.75 5241 3.30 -2.19 0.12 < 1.32     
NGC 5897 Tes01-WF3-1767  15 17 19.63 -20 59 44.2 RGB 17.52      0.87  2.00 5186 2.96 -2.14 0.11 < 1.06     
NGC 5897 Tes01-WF3-211   15 17 19.71 -21 00 51.6 RGB 18.54      0.78  3.03 5523 3.47 -1.98 0.14 < 2.02     
NGC 5897 Tes01-ESO-1268  15 17 19.82 -20 59 33.3 RGB 17.47      0.87  1.95 5155 2.94 -2.21 0.11 < 1.15     
NGC 5897 Tes01-ESO-3835  15 17 19.86 -20 57 38.0 RGB 18.35      0.81  2.83 5417 3.36 -2.11 0.11 < 1.41     
NGC 5897 Tes01-ESO-3635  15 17 20.09 -20 57 49.4 RGB 18.34      0.83  2.82 5263 3.33 -2.25 0.11 < 1.66     
NGC 5897 Tes01-ESO-1408  15 17 20.10 -20 59 10.6 AGB 15.40      0.97 -0.12 5119 1.98 -2.12 0.11 < 0.67     
NGC 5897 Tes01-ESO-3549  15 17 20.12 -20 57 31.0 RGB 18.28      0.82  2.76 5369 3.33 -2.10 0.11 < 1.89     
NGC 5897 Tes01-ESO-1604  15 17 20.18 -21 01 52.0 RGB 18.46      0.68  2.94 5842 3.55 -2.09 0.14 < 2.42     
NGC 5897 Tes01-ESO-1991  15 17 20.20 -21 03 36.4 RGB 16.17      0.95  0.65 4992 2.32 -2.07 0.11 < 0.72     
NGC 5897 Tes01-WF3-527   15 17 20.33 -21 00 33.5 RGB 17.49      0.90  1.97 5097 2.91 -2.29 0.11 < 1.73     
NGC 5897 Tes01-ESO-1659  15 17 20.34 -21 01 56.3 RGB 17.78      0.86  2.26 5213 3.07 -2.37 0.12 < 1.41     
NGC 5897 Tes01-WF2-1665  15 17 20.35 -21 01 08.0 RGB 16.72      0.91  1.20 5097 2.59 -2.16 0.11 < 1.29     
NGC 5897 Tes01-ESO-1358  15 17 20.58 -20 59 19.0 RGB 16.42      0.89  0.90 5183 2.48 -2.13 0.11 < 0.69     
NGC 5897 Tes01-WF2-1582  15 17 20.64 -20 01 08.1 RGB 18.60      0.84  3.08 5291 3.44 -2.05 0.25 < 3.15     
NGC 5897 Tes01-WF3-724   15 17 20.96 -20 00 20.8 RGB 17.89      0.85  2.37 5235 3.13 -1.83 0.15 < 2.45     
NGC 5897 Tes01-WF3-131   15 17 21.01 -21 00 44.3 RGB 18.18      0.84  2.66 5322 3.26 -2.22 0.11   1.68 0.19
NGC 5897 Tes01-ESO-1644  15 17 21.04 -21 02 29.6 RGB 17.55      0.87  2.03 5217 2.97 -2.15 0.11 < 1.52     
NGC 5897 Tes01-ESO-1518  15 17 21.04 -21 02 19.1 RGB 18.23      0.81  2.71 5395 3.31 -2.02 0.12 < 1.62     
NGC 5897 Tes01-WF2-1616  15 17 21.28 -20 01 25.5 RGB 16.45      0.90  0.93 5116 2.48 -2.09 0.11 < 1.80     
NGC 5897 Tes01-WF4-4     15 17 21.81 -20 59 56.0 AGB 15.39      0.84 -0.13 5232 2.12 -2.20 0.11 < 1.02     
NGC 5897 Tes01-WF2-1954  15 17 21.82 -21 02 04.2 RGB 18.73      0.85  3.22 5249 3.48 -2.63 0.15 < 1.50     
NGC 5897 Tes01-WF2-1371  15 17 21.85 -20 01 19.1 RGB 13.55      1.38 -1.97 4320 0.79 -2.09 0.11 <-0.02     
NGC 5897 Tes01-ESO-3841  15 17 21.92 -20 56 35.7 RGB 18.46      0.66  2.95 5969 3.58 -1.93 0.13 < 2.27     
NGC 5897 Tes01-WF2-886   15 17 22.04 -21 00 53.7 RGB 18.57      0.80  3.06 5432 3.46 -1.79 0.14 < 2.83     
NGC 5897 Tes01-WF3-315   15 17 22.04 -21 00 27.7 RGB 17.56      0.89  2.04 5119 2.95 -2.25 0.11 < 1.35     
NGC 5897 Tes01-WF4-8     15 17 22.15 -21 00 03.7 RGB 18.48      0.80  2.96 5432 3.42 -1.86 0.16 < 2.36     
NGC 5897 Tes01-ESO-1524  15 17 22.25 -21 02 11.6 RGB 18.57      0.77  3.05 5538 3.49 -2.11 0.13 < 2.04     
NGC 5897 Tes01-ESO-1378  15 17 22.32 -20 59 00.2 RGB 17.92      0.84  2.40 5283 3.15 -2.21 0.11 < 1.57     
NGC 5897 Tes01-ESO-1246  15 17 22.37 -20 58 52.4 RGB 18.67      0.76  3.15 5602 3.56 -2.32 0.12 < 1.84     
NGC 5897 Tes01-ESO-1395  15 17 22.48 -20 59 12.0 RGB 17.52      0.87  2.00 5165 2.96 -1.95 0.13 < 1.93     
NGC 5897 Tes01-ESO-1803  15 17 22.54 -21 05 13.9 RGB 18.19      0.85  2.67 5251 3.25 -2.22 0.11 < 1.20     
NGC 5897 Tes01-ESO-1813  15 17 22.62 -21 04 25.5 RGB 18.17      0.80  2.65 5458 3.30 -2.23 0.12 < 1.62     
NGC 5897 Tes01-WF2-1161  15 17 22.73 -21 01 25.3 RGB 17.88      0.87  2.36 5191 3.11 -2.31 0.12 < 1.61     
NGC 5897 Tes01-ESO-1401  15 17 22.74 -20 58 42.6 AGB 15.92      0.85  0.40 5060 2.31 -2.10 0.11 < 1.05     
NGC 5897 Tes01-WF2-544   15 17 22.84 -20 00 53.2 RGB 15.66      1.01  0.14 4808 2.03 -2.24 0.11 < 1.12     
NGC 5897 Tes01-WF4-82    15 17 22.89 -21 00 15.9 RGB 15.99      0.94  0.47 4994 2.25 -2.11 0.11 < 0.84     
NGC 5897 Tes01-WF2-252   15 17 22.92 -21 00 39.0 RGB 17.48      0.88  1.97 5217 2.94 -2.24 0.11 < 1.72     
NGC 5897 Tes01-WF4-672   15 17 22.93 -20 59 39.1 RGB 16.57      0.89  1.05 5067 2.54 -2.09 0.11 < 1.12     
NGC 5897 Tes01-ESO-3595  15 17 22.94 -20 58 20.9 RGB 16.14      0.94  0.63 5038 2.32 -2.05 0.11 < 1.10     
NGC 5897 Tes01-WF4-851   15 17 22.99 -20 59 28.7 RGB 18.25      0.83  2.73 5339 3.30 -2.06 0.11   1.77 0.18
NGC 5897 Tes01-WF2-975   15 17 23.04 -21 01 20.4 RGB 18.67      0.80  3.15 5434 3.50 -2.23 0.14   2.41 0.30
NGC 5897 Tes01-WF4-202   15 17 23.24 -21 00 15.8 RGB 17.92      0.83  2.41 5325 3.16 -2.01 0.12 < 1.57     
NGC 5897 Tes01-WF4-537   15 17 23.34 -20 59 56.9 RGB 18.44      0.81  2.92 5410 3.40 -2.24 0.11 < 1.39     
NGC 5897 Tes01-ESO-1543  15 17 23.36 -21 02 17.9 RGB 18.40      0.80  2.88 5436 3.39 -2.25 0.12 < 2.04     
NGC 5897 Tes01-ESO-3686  15 17 23.39 -20 56 41.2 RGB 17.82      0.83  2.30 5289 3.12 -2.13 0.11 < 1.27     
NGC 5897 Tes01-WF4-1109  15 17 23.46 -20 59 21.7 RGB 18.74      0.77  3.22 5585 3.57 -1.89 0.12 < 2.38     
NGC 5897 Tes01-WF2-658   15 17 23.64 -21 01 17.4 RGB 18.60      0.82  3.08 5379 3.46 -2.17 0.13 < 2.16     
NGC 5897 Stet-N5897-S7   15 17 23.67 -21 01 33.5 RGB 15.96 0.77 0.98  0.44 4983 2.19 -2.31 0.11 < 1.31     
NGC 5897 Tes01-ESO-3882  15 17 23.67 -20 55 44.2 RGB 15.91      0.97  0.39 4887 2.18 -2.16 0.11   1.01 0.15
NGC 5897 Tes01-WF4-1040  15 17 23.72 -20 59 32.5 RGB 18.52      0.81  3.00 5410 3.44 -2.11 0.11 < 1.86     
NGC 5897 Tes01-WF4-1201  15 17 23.76 -20 59 22.7 RGB 16.73      0.90  1.21 5112 2.60 -2.34 0.11 < 1.26     
NGC 5897 Tes01-ESO-3789  15 17 23.93 -20 57 48.3 RGB 18.41      0.81  2.90 5399 3.39 -2.26 0.12 < 1.81     
NGC 5897 Tes01-ESO-3836  15 17 23.98 -20 57 28.3 RGB 17.30      0.87  1.78 5165 2.86 -2.40 0.11 < 1.30     
NGC 5897 Tes01-PC1-14    15 17 24.01 -21 00 32.4 RGB 17.82      0.80  2.30 5395 3.14 -2.04 0.11 < 1.22     
NGC 5897 Tes01-ESO-1626  15 17 24.02 -21 01 57.7 RGB 18.25      0.82  2.73 5360 3.31 -2.15 0.12 < 1.71     
NGC 5897 Tes01-ESO-1929  15 17 24.03 -21 03 40.6 RGB 15.92      0.97  0.40 4940 2.19 -2.14 0.11   1.07 0.14
NGC 5897 Tes01-ESO-3879  15 17 24.07 -20 55 47.7 RGB 15.74      0.99  0.23 4817 2.09 -2.24 0.11 < 0.87     
NGC 5897 Tes01-WF4-793   15 17 24.09 -20 59 59.1 RGB 17.37      0.88  1.85 5155 2.89 -2.09 0.11 < 1.81     
NGC 5897 Tes01-PC1-20    15 17 24.09 -21 00 46.5 RGB 17.94      0.85  2.42 5246 3.15 -2.09 0.11 < 1.71     
NGC 5897 Tes01-ESO-1812  15 17 24.10 -21 04 32.5 RGB 16.80      0.90  1.28 5092 2.63 -2.15 0.11 < 1.36     
NGC 5897 Tes01-ESO-1920  15 17 24.26 -21 03 52.6 RGB 18.15      0.83  2.63 5330 3.26 -2.20 0.12 < 1.69     
NGC 5897 Tes01-PC1-18    15 17 24.28 -21 00 48.0 RGB 17.91      0.84  2.40 5275 3.14 -2.25 0.11 < 1.83     
NGC 5897 Tes01-ESO-1988  15 17 24.29 -21 05 36.9 RGB 15.82      0.98  0.30 4923 2.14 -2.08 0.11 < 1.22     
NGC 5897 Tes01-WF2-703   15 17 24.55 -21 01 40.8 RGB 17.25      0.86  1.73 5266 2.85 -2.22 0.11 < 1.12     
NGC 5897 Tes01-WF2-2134  15 17 24.61 -21 01 26.0 RGB 15.52      1.02  0.01 4824 1.96 -2.26 0.11 < 0.59     
NGC 5897 Tes01-WF4-1080  15 17 24.65 -20 59 51.3 RGB 16.60      0.90  1.08 5094 2.55 -2.12 0.11 < 1.50     
NGC 5897 Tes01-ESO-3659  15 17 24.87 -20 57 12.0 RGB 17.42      0.86  1.90 5223 2.92 -2.26 0.11 < 1.14     
NGC 5897 Tes01-WF2-372   15 17 24.89 -21 01 29.7 RGB 17.33      0.87  1.81 5200 2.88 -2.19 0.11 < 1.64     
NGC 5897 Tes01-ESO-1548  15 17 24.97 -21 01 59.3 RGB 18.25      0.84  2.73 5304 3.29 -2.17 0.12 < 1.96     
NGC 5897 Tes01-ESO-3707  15 17 24.97 -20 55 53.1 RGB 18.28      0.83  2.76 5343 3.31 -2.23 0.11 < 1.67     
NGC 5897 Tes01-PC1-7     15 17 24.98 -21 00 39.4 RGB 16.86      0.91  1.34 5088 2.64 -2.15 0.11 < 1.31     
NGC 5897 Tes01-WF2-74    15 17 24.99 -20 01 15.0 RGB 14.27      1.26 -1.25 4469 1.20 -2.18 0.11 < 0.13     
NGC 5897 Tes01-ESO-1845  15 17 25.10 -21 03 32.7 RGB 15.57      1.00  0.05 4870 2.01 -2.07 0.11 < 0.77     
NGC 5897 Tes01-ESO-3286  15 17 25.22 -21 01 02.9 RGB 18.68      0.84  3.16 5299 3.47 -2.16 0.16 < 2.44     
NGC 5897 Tes01-WF4-1189  15 17 25.29 -20 59 59.7 RGB 17.29      0.90  1.78 5110 2.83 -2.20 0.11 < 1.76     
NGC 5897 Tes01-ESO-1962  15 17 25.34 -21 02 42.5 RGB 17.09      0.89  1.57 5139 2.76 -2.14 0.11 < 1.39     
NGC 5897 Tes01-PC1-8     15 17 25.37 -20 00 24.2 RGB 17.02      0.90  1.50 5100 2.72 -2.19 0.12 < 1.51     
NGC 5897 Tes01-WF4-1334  15 17 25.63 -20 59 56.4 RGB 18.66      0.80  3.14 5447 3.50 -2.25 0.12 < 1.94     
NGC 5897 Tes01-ESO-3191  15 17 25.69 -21 00 58.0 RGB 16.88      0.90  1.36 5099 2.66 -2.25 0.11 < 0.85     
NGC 5897 Tes01-ESO-1257  15 17 25.72 -20 59 05.0 RGB 16.46      0.93  0.94 5031 2.46 -2.12 0.11 < 1.65     
NGC 5897 Stet-N5897-S11  15 17 25.89 -21 00 35.2 AGB 15.80 0.63 0.87  0.28 5282 2.24 -2.32 0.11 < 0.87     
NGC 5897 Tes01-ESO-3021  15 17 26.17 -21 01 31.9 RGB 18.39      0.80  2.87 5443 3.39 -1.98 0.12 < 2.11     
NGC 5897 Tes01-ESO-1868  15 17 26.25 -21 03 02.1 RGB 17.42      0.89  1.90 5156 2.90 -2.17 0.11 < 1.37     
NGC 5897 Tes01-ESO-3336  15 17 26.29 -20 00 54.1 RGB 13.18      1.52 -2.34 4168 0.49 -2.04 0.11 <-0.39     
NGC 5897 Tes01-ESO-1330  15 17 26.34 -20 58 44.7 RGB 16.82      0.92  1.30 5061 2.62 -1.99 0.11 < 1.47     
NGC 5897 Tes01-ESO-3079  15 17 26.43 -21 00 22.6 RGB 18.53      0.81  3.01 5421 3.44 -2.36 0.14 < 2.37     
NGC 5897 Tes01-ESO-3203  15 17 26.52 -21 00 20.8 RGB 17.83      0.88  2.31 5157 3.07 -2.34 0.11 < 1.64     
NGC 5897 Tes01-ESO-1397  15 17 26.54 -20 59 03.4 RGB 17.17      0.88  1.65 5140 2.80 -2.14 0.11 < 1.29     
NGC 5897 Tes01-ESO-1848  15 17 26.54 -21 03 23.5 RGB 18.50      0.82  2.98 5380 3.42 -2.06 0.12 < 1.78     
NGC 5897 Tes01-WF4-1583  15 17 26.56 -20 59 59.6 RGB 18.20      0.82  2.68 5355 3.29 -2.18 0.11 < 1.59     
NGC 5897 Tes01-ESO-1699  15 17 26.64 -21 01 56.2 RGB 16.80      0.85  1.28 5237 2.67 -1.86 0.11 < 1.64     
NGC 5897 Tes01-WF4-1845  15 17 26.72 -20 59 39.4 RGB 16.52      0.89  1.00 5158 2.52 -2.05 0.11 < 1.57     
NGC 5897 Tes01-ESO-3339  15 17 26.74 -21 00 59.0 RGB 18.37      0.78  2.85 5546 3.40 -2.57 0.14 < 2.57     
NGC 5897 Tes01-ESO-3233  15 17 26.76 -21 01 13.7 RGB 17.35      0.84  1.83 5308 2.92 -2.00 0.11 < 1.93     
NGC 5897 Tes01-ESO-1807  15 17 26.79 -21 04 53.0 RGB 18.42      0.83  2.90 5309 3.37 -2.02 0.12 < 1.52     
NGC 5897 Tes01-ESO-3325  15 17 26.83 -21 00 46.3 RGB 18.38      0.71  2.86 5780 3.48 -2.03 0.18 < 3.33     
NGC 5897 Tes01-ESO-1406  15 17 27.07 -20 58 46.0 RGB 18.34      0.84  2.82 5256 3.33 -2.23 0.12 < 1.78     
NGC 5897 Tes01-ESO-3270  15 17 27.29 -20 01 16.5 RGB 16.58      0.94  1.06 4969 2.49 -2.35 0.12 < 1.72     
NGC 5897 Tes01-ESO-1859  15 17 27.41 -21 03 10.6 RGB 17.80      0.86  2.29 5223 3.09 -2.21 0.11 < 1.28     
NGC 5897 Tes01-ESO-1973  15 17 27.43 -21 04 47.9 RGB 18.30      0.84  2.78 5315 3.31 -2.08 0.11 < 2.03     
NGC 5897 Tes01-ESO-3324  15 17 27.54 -21 00 50.3 RGB 17.22      0.85  1.70 5278 2.85 -2.20 0.11 < 1.70     
NGC 5897 Tes01-ESO-3594  15 17 27.57 -20 58 20.9 RGB 18.06      0.82  2.54 5371 3.23 -2.39 0.12 < 1.78     
NGC 5897 Tes01-ESO-3012  15 17 27.65 -20 01 30.8 RGB 17.71      0.83  2.19 5315 3.07 -2.00 0.16 < 1.89     
NGC 5897 Tes01-ESO-3165  15 17 27.97 -20 00 22.3 RGB 15.71      1.02  0.19 4864 2.05 -2.11 0.11 < 1.08     
NGC 5897 Stet-N5897-S23  15 17 28.09 -21 02 05.7 RGB 15.19 0.86 1.06 -0.33 4810 1.79 -2.24 0.11 < 0.84     
NGC 5897 Tes01-ESO-3054  15 17 28.26 -21 01 01.6 AGB 14.99      1.02 -0.53 4929 1.75 -2.18 0.11 < 0.53     
NGC 5897 Tes01-ESO-3136  15 17 28.29 -21 00 30.0 RGB 18.61      0.77  3.09 5542 3.51 -2.19 0.13 < 2.49     
