Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
K341   	322.47875	12.22292	4275	0.45	-2.46	0.0	0.0	-0.29	0.0	0.0
K387   	322.48158	12.21175	4400	0.65	-2.51	0.0	0.0	-0.38	0.0	0.0
K969   	322.52658	12.116389999999999	4625	1.3	-2.56	0.0	0.0	-0.44	0.0	0.0
K431   	322.48400	12.20936	4375	0.5	-2.5	0.0	0.0	-0.39	0.0	0.0
K146   	322.45808	12.13467	4450	0.8	-2.58	0.0	0.0	-0.42	0.0	0.0
K386   	322.48175	12.17925	4200	0.15	-2.51	0.0	0.0	-0.45	0.0	0.0
K583   	322.49404	12.15586	4275	0.3	-2.51	0.0	0.0	-0.46	0.0	0.0
K702   	322.50137	12.18078	4325	0.25	-2.45	0.0	0.0	-0.44	0.0	0.0
K462   	322.48608	12.16281	4225	0.3	-2.48	0.0	0.0	-0.36	0.0	0.0
K490   	322.48762	12.16039	4350	0.6	-2.59	0.0	0.0	-0.06	0.0	0.0
K634   	322.49717	12.15311	4225	0.3	-2.44	0.0	0.0	-0.31	0.0	0.0
