Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
390	153.3420833349228	-1.6047222222222224	4768	1.4558380047480266	-1.875940846933856	0.027302207575002183	-0.20198929621159373	-2.0169076649643833	0.14133371439766843	2.871020688172623
534	153.3420833349228	-1.6047222222222224	4825	1.7074689865112302	-2.1615970488764575	0.06867589414842692	-0.17275961327713715	-2.960753844121869	0.2636089465871183	1.2799228305069155
575	153.3420833349228	-1.6047222222222224	4624	1.6861679156621294	-1.0892920863629936	0.023230798347297712	0.3908568434131327	-1.4048556262757983	0.17145724252263628	6.338296913660189
574	153.3420833349228	-1.6047222222222224	4872	1.7763662735621133	-1.8308325002506096	0.04524532218224361	0.1092451224928383	-1.9380483483519184	0.12599062745470674	1.1790792721942418
777	153.3420833349228	-1.6047222222222224	4966	2.024639288584391	-1.880317859679588	0.08224069510832203	-0.18969037886418186	-2.071259198110509	0.17270978414627466	0.9258754732082862
1048	153.3420833349228	-1.6047222222222224	5042	2.23395562171936	-2.6437999712739955	0.2824650471942191	0.471032677746676	-2.0389530960417908	0.24915729351394075	0.9553388275900292
311	153.3420833349228	-1.6047222222222224	4831	1.3344477812449138	-1.2913092125171735	0.013017751488695535	0.13990783261120224	-0.9230482031217959	0.17583491044099062	20.514571610940834
539	153.3420833349228	-1.6047222222222224	5021	1.7980138063430786	-2.0317839273061122	0.06270772421574991	-0.0048042528445633136	-2.5423674623577033	0.2618340957409329	1.2420231127010164
591	153.3420833349228	-1.6047222222222224	4953	1.821164091428121	-1.3809746027022407	0.031216534505355574	-0.32506835336487555	-2.0527468626018917	0.2038396627971658	1.4099927974749145
608	153.3420833349228	-1.6047222222222224	4800	1.7896595398585	-2.329749519631256	0.07122990219070048	0.1000757211971862	-2.210565737832946	0.21804950155438743	1.3915041112532376
690	153.3420833349228	-1.6047222222222224	4883	1.9234857956568396	-1.53727135698379	0.05168383128516072	-0.17699106883660015	-1.8919115429253817	0.21629381004080062	2.8872988247392817
741	153.3420833349228	-1.6047222222222224	4882	1.9674351612726848	-2.0191486521282282	0.08090154290077224	-0.09074921214300363	-2.4674010675578346	0.21285057386646408	0.8124605995718092
929	153.3420833349228	-1.6047222222222224	4964	2.1335399945576987	-1.6022259168343653	0.10590288422223197	0.12315204306427675	-2.287387195951825	0.28516304776748685	1.3938097808681809
1063	153.3420833349228	-1.6047222222222224	5000	2.227691014607747	-2.0600759731805414	0.12078368203780568	0.22262697337136583	-1.8108820346368557	0.27147315855083654	1.1483187308013398
2676	153.3420833349228	-1.6047222222222224	5249	2.998159408569336	-2.049188175206871	0.5416569340400901	0.3905203725972588	-0.7544246244830102	0.5919346291641021	0.7517220492373315
