Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
SAGA_UMi_000001	227.1134583333333	67.16880555555556	4075	0.4	-1.68	0.11	0.0	-0.39	0.1	0.0
SAGA_UMi_000002	227.14337499999996	67.1761388888889	4325	0.3	-1.91	0.11	0.0	-0.37	0.12	0.0
SAGA_UMi_000003	227.54224999999997	67.17713888888889	4625	1.3	-2.18	0.12	0.0	-0.14	note:upperlimit
SAGA_UMi_000004	227.53766666666664	67.21452777777777	4300	0.4	-2.01	0.11	0.0	-0.41	0.1	0.0
SAGA_UMi_000005	227.23116666666664	67.25452777777778	4325	0.1	-2.17	0.12	0.0	-0.36	0.18	0.0
SAGA_UMi_000006	227.49425	67.27216666666666	4325	0.3	-1.45	0.11	0.0	-0.4	0.08	0.0
