Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])
Bel20025	227.542499999	67.1771247217	4386	1.31913300355	-2.74175416522	0.193980454971	0.635199756282	-2.62264677674	0.123116358391
Bel20058	227.49425416	67.272168889	4250	0.7195084095	-1.5656062976	0.00541627066644	-0.319315913204	-2.27773469637	0.121620247463
Bel20009	227.537791665	67.2144833332	4303	0.65021365881	-1.70230969067	0.00773039622172	-0.0772325797707	-1.98949422755	0.122770285888
Bel30113	227.612929169	67.4099561108	4231	0.739706933498	-2.10988691726	0.007907239502	0.00954690977883	-2.37525903083	0.11352121786
Bel10043	227.373866669	67.2162094445	4625	1.33825747172	-2.01589161068	0.209226421921	0.50491152693	-1.86255709416	0.134774894602
Bel30077	227.529520833	67.3814655558	4546	1.38210614522	-2.93690861673	0.0495938978385	0.161084507705	-3.41552598779	0.392377710844
Bel20079	227.584920835	67.2839380556	4881	1.64522520701	-2.43964525646	0.0402471103861	0.329160817949	-2.53723389719	0.165467844831
Bel30175	227.451087507	67.3383730555	4583	1.59734559059	-1.83735037846	0.0252654122608	-0.078761304011	-2.32603089847	0.172764882241
Bel10122	227.405683327	67.1768363889	4496	1.63668262959	-1.0462797015	0.0188535945633	0.377508675169	-0.761513285749	0.271969457162
Bel30142	227.5364	67.310568889	4654	1.70812825362	-2.00570681282	0.0286000302714	0.0786731256146	-2.22617461001	0.133110322983
Bel30139	227.467937501	67.3007847222	4855	1.80854550997	-2.83191444432	0.0868039352535	0.505527790847	-2.29673574124	0.170494761406
Bel10208	227.453987503	67.2523208332	4895	1.84077926477	-2.14461105477	0.0475872273462	-0.0759835453888	-2.04052673584	0.214952271562
Bel30236	227.554987498	67.387915278	4650	1.78503576914	-2.29894272925	0.0393187633495	0.19077104981	-2.84881640055	0.255791512488
Bel30187	227.519991666	67.3630913893	4636	1.7877612114	-1.96991592382	0.0336288946668	0.193494566296	-2.20530940866	0.138126546056
Bel30183	227.480137507	67.3603438886	4705	1.83210190137	-2.24692149084	0.0535471243667	0.277828593266	-2.41648916441	0.190250498433
Pal119	227.552791667	67.3783888891	5075	1.99799207846	-1.83346531765	0.0467309704037	-0.361622669807	-1.72439473775	0.186465181924
Bel20119	227.570641669	67.2284808328	4729	1.90787998835	-2.49434684283	0.0624407455614	0.043016576351	-2.93917782446	0.44379736022
Bel20115	227.506495833	67.194124722	4777	1.99577593803	-2.31639436865	0.156979399976	-0.367287862437	-2.27859115435	0.226046360457
Bel10504	227.415679169	67.2068752776	4860	2.16064842542	-0.844066772206	0.0223085821888	-0.767382165078	-2.53578334753	0.472001522358
Bel30562	227.58416667	67.3694113888	4800	2.15759730339	-2.39686524415	0.0751891714717	-0.284132222291	-2.75248371497	0.403474433281
Bel30535	227.520195834	67.3476313888	4846	2.16736547152	-2.43280535676	0.114113859233	0.197774379522	-2.29296177112	0.236900470516
Bel30491	227.534200001	67.3236863889	4894	2.22601040204	-2.35529246164	0.117596835015	0.445224033804	-2.3987224061	0.290764115087
Bel20519	227.582854168	67.2636025005	4933	2.29367780685	-2.32677283246	0.0935111393001	0.107421210252	-1.75292837552	0.245100335686
Bel20448	227.468587494	67.2319269445	4976	2.33447090785	-2.02264041627	0.0893471853115	-0.424551478274	-2.47577113399	0.364257176485
Bel10567	227.382354164	67.2232905557	5140	2.45274511973	-0.770988357444	0.0399127666424	0.184839621668	0.615313025654	0.314540776264
Bel30560	227.473499997	67.3679916667	5074	2.56192143758	-2.54421924688	0.260214039502	0.901634122449	-2.51078666476	0.569372195189
Bel20829	227.523583333	67.2365072221	5052	2.70648344358	-2.07335468146	0.163253919426	0.4309770633	-1.63948722611	0.379571058284
Bel30991	227.517566667	67.3510691667	5062	2.7344789505	-1.99123437795	0.178269229182	0.435555656434	-2.69013312079	1.0823986455
Bel20806	227.481391668	67.2219511112	5175	2.85519178708	-1.65835734914	0.186234855035	-0.233487386459	-1.33566309486	0.413035306835
Bel30918	227.469958337	67.3164216667	5109	2.86957359314	-2.42818559261	0.387281644378	0.49565763781	-0.897175052078	0.395603817204
Bel30878	227.495795838	67.2971869447	5091	2.96489810944	-1.96951864604	0.311354903337	0.203374807623	-2.37234154682	1.29497002833
Bel21196	227.483412504	67.2889416668	5110	2.96353435516	-2.3175128246	0.352864486081	0.942970438916	-1.79529317904	0.710920500733
Bel30927	227.597087502	67.3218466669	5177	3.04798277219	-2.42098656091	0.424352328543	0.406168536862	-0.523151981068	0.670343283874
Bel30999	227.561883334	67.3577530554	5330	3.12198106448	-1.34913855893	0.259045016523	-0.20715676482	-2.50711033483	2.10556593594
