Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])
640694	260.100666666	57.9405277777	4793	1.40441405773	-1.87637633583	0.0298303658017	0.0181207156064	-2.32836958501	0.195019837544
637383	260.113458331	57.9366666667	4582	1.17950963974	-1.79052067821	0.0166447564148	-0.150406601978	-1.92803642951	0.353119421272
634082	260.220708338	57.9327500004	4379	0.302637547255	-1.19742310758	0.00551752419115	-0.403297139046	-0.852826358142	0.118511533197
588255	260.236041673	57.8659444449	4798	1.38455152512	-1.90899453308	0.0382930781333	0.196963304032	-2.36036466464	0.200161093041
575526	260.180666669	57.845222222	4910	1.52612829208	-1.48348281218	0.0282491317897	-0.15753919091	-1.5896947311	0.148020198561
667609	260.171041663	57.9738055558	4771	1.45951449871	-1.98515550289	0.0429506472105	0.222990599596	-2.20527332285	0.219101681715
580987	260.165958341	57.8542500001	4633	1.11177814007	-1.88545722561	0.0187032041918	-0.0612627915865	-2.50645215004	0.191620618491
611012	260.198124997	57.9023611111	4878	1.59105110168	-1.93949932867	0.0544128760091	0.117356119955	-2.43654637047	0.295439768176
707848	260.16604166	58.0335	4838	1.5599193573	-1.66202154638	0.0405800185651	0.113244329486	-1.68079166967	0.190912982499
711162	260.164083338	58.039888889	4728	1.45820105076	-1.94054262303	0.0475559860378	-0.178413749534	-1.68139845343	0.215914883379
621150	260.186291663	57.9165277778	4893	1.69818556309	-1.51056939999	0.0376091991253	-0.320954763005	-1.91981094646	0.23878107602
714584	260.012958333	58.0463611115	4850	1.5191911459	-1.90928785999	0.0603358647702	-0.0975523915307	-1.82618978889	0.190400737774
663255	260.126666665	57.9681944444	4875	1.73498642445	-1.91156723492	0.0594084179691	-0.455143621631	-2.72767160724	0.3948592602
676871	260.09841667	57.9855833334	4701	1.54659807682	-1.61884704715	0.031930733341	-0.347587374936	-1.39360764976	0.210872909115
574022	260.2375	57.8426944447	4973	1.87769079208	-2.26817038241	0.117711759244	0.0766030209566	-2.1181836676	0.359531229566
608891	260.141958332	57.8991388893	4963	1.92349016666	-1.91460488673	0.0770401416737	-0.177834239429	-1.73321479623	0.289609887367
720459	260.011208334	58.0579722224	4740	1.71557438374	-1.20021696301	0.0354247192572	0.474047739052	-0.67803443898	0.227368978031
625494	260.15641667	57.9220277776	5000	1.9933450222	-1.93852964788	0.0907462937405	-0.0807454033662	-1.88570068174	0.310764978276
603233	260.198999993	57.8900555558	4961	1.98678100109	-2.09205337609	0.150136087516	0.0776594261107	-6.68810655305	2117.84584885
630972	260.105250001	57.9289166662	4750	1.5	-1.5	0.0	0.20000000298	-2.16074107377	0.333415915979
