Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Fe/H]error	[Mn/Fe]	[Mn/Fe]error
SAGA_Scl_000006	D.Geisler+,AJ, 129, 1428, 2005	00 59 55.69	-33 46 40.8	4250	0.2	-2.1	-2.1	0.15	-0.08	0.18
SAGA_Scl_000007	D.Geisler+,AJ, 129, 1428, 2005	01 00 16.32	-33 42 37.6	4025	0.5	-1	-0.97	0.16	-0.64	0.08
SAGA_Scl_000008	D.Geisler+,AJ, 129, 1428, 2005	01 00 23.87	-33 42 17.7	4075	0	-1.7	-1.72	0.13	-0.43	0.18
SAGA_Scl_000009	D.Geisler+,AJ, 129, 1428, 2005	00 59 46.41	-33 41 23.7	3900	0	-1.2	-1.2	0.13	-0.35	0.18
