Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)	error(Teff)	error(logg)	error(xi)	error([alpha/Fe])	vt
542_1088	202.01039786724726	33.53298345332754	5044	1.8597826957702643	-1.516275284484384	0.12083204805196293	-0.4692051242459471	-1.3885303444444728	0.2249775835600953	0.7638641170525172	49.81909000255433	0.10118099333271358	0.0704830612789919	0.19604798064680146	1.773821563938413
542_112	201.8678738541496	33.53627151921668	4442	0.8589212894439697	-1.990737561512514	0.10860258743168492	-0.06043412879303753	-2.2819555623879344	0.1554794857840414	1.670655899917461	43.36425789846176	0.10037415840024776	0.06683994502923497	0.13902486904062833	1.8179768116747432
542_141	201.9114830199032	33.54868647009385	4578	1.141141414642334	-2.28998440245873	0.10421346901481153	-0.011395270684907843	-2.9267875143130966	0.28067590414563226	0.8102327893195393	23.98352177343755	0.10798270715891338	0.0572747931322004	0.11538475769375167	1.9817824505892958
542_172	201.95236325423755	33.56423746667155	4702	1.2525758743286133	-2.6680393696328446	0.2620339992679531	-0.0990290147923172	-2.779826869806376	0.22279166671727912	0.6578503174962465	98.90708632904872	0.10437729373153297	0.07813207324852263	0.4725472913667617	1.6903029075392126
542_188	201.95831127853359	33.527541596183326	4796	1.4488155841827393	-1.9043383075227287	0.12857024670081618	-0.17618644922618268	-1.8741474713277464	0.1907999975348468	0.9542759938272016	44.45306822344828	0.10008662512236324	0.06462030858707077	0.31712147244443345	1.8469742276403252
542_207	201.98189289343662	33.55681908072331	4269	0.6376875042915344	-2.697872854240297	0.11036480879287616	0.0842708735450883	-2.8680285253351263	0.17369062892606105	2.376126829495393	39.84403594400988	0.10006436143177533	0.0632858281544687	0.15196572198976274	1.8655216747578347
542_209	201.98234728984158	33.54503637677734	4401	0.9302981495857242	-1.9694666059839945	0.11920988584236683	-0.01729041540235313	-2.3196896249724808	0.12732559224814527	1.390421589352405	51.17006030735854	0.10106682623252383	0.06929379748469479	0.22763546054727804	1.7880364180285517
542_216	201.9920328336277	33.55005056047188	4652	1.3603506088256836	-1.8545490415447408	0.20441873762167734	-0.059555087322947564	-1.7950544838071696	0.14370532215990808	1.011395615806944	139.96283538684438	0.10267816143470583	0.08420592571215657	0.2586177520727697	1.6255975552426776
542_278	201.90547614146342	33.55246052088251	4623	1.5044747591018677	-2.0251346285899814	0.1042542239782984	-0.22360735951544086	-2.379071974146569	0.2978629180443137	0.7655770598736676	28.51938422250427	0.10411734769830036	0.0588506043592651	0.11625443083081305	1.942287304751901
542_308	202.047104712222	33.585012196511265	4670	1.552103877067566	-1.6388906658717042	0.14429648297237013	-0.21064216068934494	-1.9769821368696665	0.2047018499709238	0.6547370203934709	97.28847217013052	0.10231557602909594	0.07721610835772366	0.3627871447588412	1.6985363184945779
542_505	201.87645507168224	33.5345337733464	4957	1.78005850315094	-2.0685533858075167	0.10438393105835564	-0.06900007352516457	-1.6602566568648494	0.29551216965475896	0.9549443047783224	34.20912211747775	0.10156273254757836	0.059914301939119174	0.11751520191124132	1.9193669198913133
542_603	201.89715935311642	33.525622590159	5055	2.094820737838745	-2.0815383330745507	0.11800914311150923	1.1377055641763658	-0.9253125296747582	0.2677715945089008	0.7785021647093201	57.66478910389926	0.10052082768879653	0.0690484686370716	0.22222181395061366	1.7904849957067093
542_837	201.9656762892281	33.56209442972568	4929	1.8233180046081543	-2.8381252807876973	0.1066246695984569	0.2375204905364144	-2.059983772235943	0.29304065364899834	0.6586273730925947	34.542542353924986	0.10002683327328288	0.06359970179637026	0.13436723629302147	1.8610317618247953
542_88	202.03675154343009	33.5781057053204	4651	1.1113998889923096	-2.1217733773114804	0.17109890071745396	0.18355721107657372	-2.2347351049394644	0.15389170281993805	1.112067684954706	90.32568394319857	0.10580897432419374	0.07785811438112414	0.35312969654186976	1.6944326186313656
542_997	201.996733425896	33.55185562562937	4678	1.5973422527313232	-1.897833456478233	0.11141921425988356	-0.04595618108084543	-2.0489063190194265	0.2353774316691069	0.8632681995279499	50.741278723950025	0.10005836886391686	0.06269333477109568	0.1556986014048722	1.874038986693522
543_112	202.06762502221005	33.56942427043721	4559	1.18464195728302	-1.9694179674877943	0.1051326921862996	-0.0753337040701267	-2.9134905841327767	0.2456110028568093	0.8229572521463321	49.514290879464255	0.10063415069809586	0.07117925842522775	0.12924135328388706	1.7650651219790958
543_248	202.11161030162805	33.577698157729785	5011	1.7963069677352903	-2.026252117905497	0.1476856051260235	-0.1024099602790138	-1.8675508829712641	0.26439643916414235	0.6643643390032927	72.71978763809331	0.10166343831521753	0.07353480822021471	0.31138352813012604	1.7387980092216373
