Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)	error(Teff)	error(logg)	error(xi)	error([alpha/Fe])	vt
587742783134826564	227.30113749901454	67.22436666647593	4811	1.9930750528971355	-2.9317724761718504	0.10103081	0.4670441330014204	-2.7390347681071576	0.2772055985729276	0.8554733700557147	0.0	0.0	0.0	0.084143983	1.940000057220459
587742783134827051	227.28332916696868	67.23162499957614	4726	1.8133797645568848	-2.345418839308639	0.10103081	0.3372891026132976	-2.9977528937923115	0.2396478299063103	0.8502053236692729	0.0	0.0	0.0	0.084143983	1.940000057220459
587742783134827011	227.25087916664785	67.22759444448683	4977	2.1024359862009683	-2.21415752135332	0.10103081	-0.004598825671386083	-2.3856213745843453	0.2258649735983751	0.8668778552369729	0.0	0.0	0.0	0.084143983	1.940000057220459
587742783134827037	227.29362500111264	67.24217777782016	4994	2.009194890658061	-1.9246262170896509	0.10103081	0.0006366290799547863	-2.5788081934457523	0.2671890304166338	0.9342562908804048	0.0	0.0	0.0	0.084143983	1.940000057220459
587742783134827008	227.21743332544963	67.21294166670906	4315	0.8871548374493915	-2.2267564109016957	0.10103081	0.12067215212052135	-2.367079489787067	0.0951511076629856	4.028652122542422	0.0	0.0	0.0	0.084143983	1.940000057220459
588021337802015392	227.1853166739146	67.21108888838026	4876	2.2038513024648028	-2.061988714040127	0.1148143774504806	0.3707915073056971	-2.315828956978061	0.2447750942834227	1.066779716230547	40.70525565001401	0.1016782567110595	0.0	0.14361634316101746	1.940000057220459
588021337802015484	227.18839583396908	67.19409444491069	4825	1.9521777232488	-1.5960029667158502	0.10344558211419864	-0.33803484179406473	-1.7356195883781766	0.11621812526215672	1.3208843522904326	35.692152368387475	0.10124335838172292	0.0	0.13621580362083432	1.940000057220459
588021337802015347	227.1762166659037	67.22029722213745	4358	0.9766090710957844	-1.909845289774212	0.1148143774504806	0.04536123115454632	-2.175672462585124	0.09554983414179913	2.6276949134100884	40.70525565001401	0.1016782567110595	0.0	0.14361634316101746	1.940000057220459
587742783134826993	227.3159500002861	67.2619888888465	4823	2.1100356578826904	-2.2880754666066863	0.10103081	0.5693921942526852	-2.0763866503373896	0.1884287544762471	0.9638907258978862	0.0	0.0	0.0	0.084143983	1.940000057220459
588021337802015370	227.15988750457763	67.20855833318498	4799	2.036525090535482	-2.2451432560296096	0.1148143774504806	-0.4638557234775578	-2.5994300578701948	0.2351625696478345	0.8778445701901272	40.70525565001401	0.1016782567110595	0.0	0.14361634316101746	1.940000057220459
587742783134826945	227.30334999958683	67.2690499999788	4650	1.7179390986760457	-1.7376809103746864	0.10103081	-0.1468777234015271	-2.026586023642373	0.11879392861929068	1.1048332633789308	0.0	0.0	0.0	0.084143983	1.940000057220459
587742783134826946	227.3069749991099	67.26982777780957	4732	1.8108573754628496	-1.7647805061304294	0.10103081	-0.08944124962806115	-2.192413426929192	0.1595977822860635	1.0262783783023637	0.0	0.0	0.0	0.084143983	1.940000057220459
587742783134826862	227.31192500193922	67.29582222196791	4374	0.9780657092730204	-2.1510150957383734	0.10103081	-0.038144378191947007	-2.7073882385592243	0.14319724298231698	4.705349511274831	0.0	0.0	0.0	0.084143983	1.940000057220459
588021337802015440	227.10337083339687	67.16687222222488	4915	2.1309911410013838	-2.162436974698804	0.10344558211419864	0.15939429729932067	-2.3751411111057985	0.22423747365976845	0.8920088533508327	35.692152368387475	0.10124335838172292	0.0	0.13621580362083432	1.940000057220459
588021337802015445	227.0513249993324	67.14050833331214	4751	2.0491310755411782	-1.7580694426702024	0.10344558211419864	-0.1896383480878865	-2.4484582730318807	0.2524274012845242	0.9565912719421504	35.692152368387475	0.10124335838172292	0.0	0.13621580362083432	1.940000057220459
588021337802015444	227.04036666552224	67.13652499993643	4772	2.129078308741251	-2.055328734906499	0.10344558211419864	0.17804990384968036	-2.3498834006544	0.21817180684373405	0.8163850727589915	35.692152368387475	0.10124335838172292	0.0	0.13621580362083432	1.940000057220459
588021337533644982	227.0019541667153	67.09029722213745	4863	2.257964849472046	-2.18814529862677	0.12116654870008794	0.23615865662631244	-2.1622615049015605	0.2375541622440477	0.8307971943368253	37.783244969015406	0.10182933386132124	0.0	0.14486765435422552	1.940000057220459
588021337533645082	227.03473333517707	67.07806388854979	4803	2.0577507813771563	-2.0234341689798767	0.10103081	-0.08828704777387929	-2.23025007660325	0.17653215473921974	0.8865068394829275	0.0	0.0	0.0	0.084143983	1.940000057220459
