Title: Manganese Abundances in Cluster and Halo Field Stars  
Authors: Sobeck J.S., Ivans I.I., Simmerer J.A., Sneden C., Hoeflich P., 
         Fulbright J.P., Kraft R.P. 
Table: LTG Stellar Model Parameters and Individual [Fe/H] and [Mn/Fe] Values
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Group    Source association  
  10- 12 A3     ---     OName    Other group association name (1)
  14- 21 A8     ---     ID       Stellar identification within Group
  23- 26 I4     K       Teff     Effective temperature
  28- 32 F5.2   [cm/s2] log(g)   Log of the surface gravity
  34- 37 F4.2   km/s    VTurb    Microturbulent velocity
  39- 43 F5.2   [Sun]   [Fe/H]-L Log of literature Fe/H number abundance
  45- 49 F5.2   [Sun]   [Fe/H]   Log of Lick-Texas group Fe/H number abundance 
  51- 55 F5.2   [Sun]   [Mn/Fe]  Log of Lick-Texas group Mn/Fe number abundance
--------------------------------------------------------------------------------
Note (1): Field stars from the Fulbright (2000) survey (labeled as JF) have 
          Hipparcos identifications. Similarly, target stars of the 
          Simmerer et al. (2004) survey (designated as JS) have Henry Draper 
          identifications unless otherwise indicated. 
--------------------------------------------------------------------------------
NGC 5272 M3  B21      4725  1.65 1.20 -1.61 -1.48 -0.61 
NGC 5272 M3  B23      4800  2.10 1.40 -1.70 -1.63 -0.61 
NGC 5272 M3  B24      4450  1.00 1.90 -1.59 -1.52 -0.48 
NGC 5272 M3  B33      4550  1.30 1.65 -1.55 -1.48 -0.55 
NGC 5272 M3  B34      3850  0.00 2.00 -1.62 -1.55 -0.55 
NGC 5272 M3  B11      4400  1.10 1.50 -1.56 -1.59 -0.41 
NGC 5272 M3  B12      4400  1.10 1.80 -1.62 -1.74 -0.34 
NGC 5272 M3  B13      3900  0.00 2.05 -1.54 -1.58 -0.41 
NGC 5272 M3  B14      4175  0.70 1.70 -1.58 -1.60 -0.39 
NGC 5272 M3  B15      4350  1.10 1.50 -1.67 -1.67 -0.43 
NGC 5272 M3  B41      4075  0.40 1.70 -1.54 -1.57 -0.41 
NGC 5272 M3  B42      4100  0.40 1.70 -1.56 -1.56 -0.43 
NGC 5272 M3  B43      4750  1.40 1.60 -1.75 -1.71 -0.39 
NGC 5272 M3  B44      5050  2.00 1.50 -1.71 -1.71 -0.41 
NGC 5272 M3  B45      5100  2.40 1.00 -1.58 -1.73 -0.28 
NGC 5272 M3  F24      4600  1.70 1.20 -1.54 -1.51 -0.41 
NGC 5272 M3  I21      4175  0.70 1.70 -1.52 -1.57 -0.39 
NGC 5272 M3  IV-101   4200  0.75 1.70 -1.50 -1.46 -0.48 
NGC 5272 M3  IV-77    4300  0.85 1.80 -1.52 -1.60 -0.33 
NGC 5272 M3  VZ1397   3925  0.10 2.00 -1.53 -1.57 -0.37 
NGC 5904 M5  G2       3900 -0.10 1.75 -1.33 -1.38 -0.48 
NGC 5904 M5  I-14     4250  0.75 1.60 -1.34 -1.36 -0.38 
NGC 5904 M5  I-2      4500  1.10 1.45 -1.31 -1.29 -0.38 
NGC 5904 M5  I-20     4050  0.00 2.00 -1.44 -1.60 -0.18 
NGC 5904 M5  I-50     4525  1.15 1.40 -1.33 -1.28 -0.48 
NGC 5904 M5  I-55     4700  0.85 1.80 -1.47 -1.56 -0.38 
NGC 5904 M5  I-58     4350  0.80 1.50 -1.27 -1.34 -0.35 
NGC 5904 M5  I-61     4400  1.00 1.50 -1.32 -1.36 -0.35 
NGC 5904 M5  I-68     4066  0.63 2.20 -1.44 -1.45 -0.58 
NGC 5904 M5  I-71     4360  1.12 1.65 -1.32 -1.38 -0.37 
NGC 5904 M5  II-50    4525  1.15 1.35 -1.24 -1.31 -0.38 
NGC 5904 M5  II-59    4463  1.15 1.65 -1.33 -1.32 -0.56 
NGC 5904 M5  II-74    4525  1.30 1.30 -1.17 -1.08 -0.58 
NGC 5904 M5  II-85    4009  0.54 1.80 -1.30 -1.37 -0.31 
NGC 5904 M5  III-122  4001  0.44 2.00 -1.26 -1.23 -0.54 
NGC 5904 M5  III-18   4475  0.55 1.70 -1.43 -1.42 -0.45 
NGC 5904 M5  III-3    4076  0.63 1.95 -1.31 -1.41 -0.41 
NGC 5904 M5  III-36   4227  0.91 1.65 -1.28 -1.28 -0.47 
NGC 5904 M5  III-52   4625  1.50 1.45 -1.38 -1.39 -0.36 
NGC 5904 M5  III-53   4700  1.05 1.75 -1.52 -1.64 -0.33 
NGC 5904 M5  III-59   4575  1.20 1.35 -1.30 -1.24 -0.45 
NGC 5904 M5  III-78   4154  0.78 1.95 -1.32 -1.38 -0.45 
NGC 5904 M5  IV-19    4125  0.50 1.70 -1.39 -1.32 -0.43 
NGC 5904 M5  IV-26    4650  1.05 1.40 -1.41 -1.43 -0.38 
NGC 5904 M5  IV-30    4625  1.00 1.75 -1.47 -1.47 -0.43 
