# our [Mn/H]	error(our [Mn/H])	hires [Mn/H]	error(hires [Mn/H])	separation (arcsec)	Shetrone+03
-2.443212319573400126e-01	1.605639151170653589e-01	-4.000000000000000022e-01	1.063014581200000114e-01	3.839697994478746823e-01	Shetrone+03
-4.094954541217039612e-01	1.514738828526336067e-01	-3.499999999999999778e-01	1.140175425099999862e-01	1.770110735878214769e-01	Shetrone+03
