Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
BL038	40.08520833333333	-34.40002777777778	0.0	0.0	-0.91	0.0	0.0	-0.202738959647661	0.11145502331533659	0.0
BL045	40.03133333333332	-34.39216666666667	0.0	0.0	-1.05	0.0	0.0	-0.3990298507462686	0.10230672835481872	0.0
BL065	39.84229166666666	-34.32786111111111	0.0	0.0	-1.44	0.0	0.0	-0.41895434941817883	0.049665548085837785	0.0
BL076	39.881208333333326	-34.38475	0.0	0.0	-0.8600000000000001	0.0	0.0	-0.3502332037756802	0.14352700094407328	0.0
BL077	39.96424999999999	-34.355805555555555	0.0	0.0	-0.7899999999999998	0.0	0.0	-0.42007462686567165	0.09877021593352699	0.0
BL081	39.983374999999995	-34.40291666666666	0.0	0.0	-0.6300000000000001	0.0	0.0	-0.32436418786040466	0.19770910168449224	0.0
BL084	39.678999999999995	-34.430305555555556	0.0	0.0	-0.87	0.0	0.0	-0.4259504132231404	0.06548960901462834	0.0
BL091	39.767958333333326	-34.42188888888889	0.0	0.0	-0.98	0.0	0.0	-0.33338983050847454	0.07118052168020873	0.0
BL092	39.70533333333333	-34.40136111111111	0.0	0.0	-0.9199999999999999	0.0	0.0	-0.6020353982300884	0.14966629547095767	0.0
BL096	39.809708333333326	-34.378194444444446	0.0	0.0	-0.7100000000000001	0.0	0.0	-0.5636296143534748	0.07930251502246877	0.0
BL097	39.76695833333333	-34.39797222222222	0.0	0.0	-0.9200000000000002	0.0	0.0	-0.249504132231405	0.053124591501697425	0.0
BL100	39.733333333333334	-34.412444444444446	0.0	0.0	-0.94	0.0	0.0	-0.5305385896724041	0.06018490028422594	0.0
BL104	39.81079166666666	-34.38916666666667	0.0	0.0	-0.98	0.0	0.0	-0.26246724713158115	0.17556258776351588	0.0
BL113	39.784	-34.614805555555556	0.0	0.0	-0.76	0.0	0.0	-0.26842105263157895	0.13474255287605158	0.0
BL115	39.68104166666666	-34.53480555555555	0.0	0.0	-1.47	0.0	0.0	-0.44	0.10033277962194942	0.0
BL123	39.72395833333333	-34.50183333333333	0.0	0.0	-0.98	0.0	0.0	-0.2626989619377163	0.08806563209081938	0.0
BL125	39.78541666666666	-34.515388888888886	0.0	0.0	-0.75	0.0	0.0	-0.32377112773621497	0.19362047641943475	0.0
BL132	39.72341666666666	-34.551249999999996	0.0	0.0	-0.9199999999999999	0.0	0.0	-0.2070937635412153	0.13572848714334887	0.0
BL138	39.817499999999995	-34.61672222222222	0.0	0.0	-1.01	0.0	0.0	-0.07891327541533301	0.112644968324772	0.0
BL140	39.79816666666666	-34.51241666666667	0.0	0.0	-0.83	0.0	0.0	-0.4691866028708133	0.08602325267042625	0.0
BL141	39.79579166666666	-34.476222222222226	0.0	0.0	-0.8400000000000001	0.0	0.0	-0.39586419753086416	0.17931970208417022	0.0
BL146	39.67399999999999	-34.482888888888894	0.0	0.0	-0.93	0.0	0.0	-0.22765432098765434	0.09568466729604884	0.0
BL149	39.73829166666666	-34.59438888888889	0.0	0.0	-0.9199999999999999	0.0	0.0	-0.40144880989044834	0.09285592184789415	0.0
BL150	39.80808333333333	-34.47669444444445	0.0	0.0	-0.8200000000000001	0.0	0.0	-0.2562121212121212	0.1184154644555441	0.0
BL151	39.751208333333324	-34.50833333333333	0.0	0.0	-0.88	0.0	0.0	-0.23606194690265486	0.08178562764256865	0.0
BL155	39.668499999999995	-34.59027777777778	0.0	0.0	-0.71	0.0	0.0	-0.2295373665480427	0.19067132861433456	0.0
BL156	39.77341666666666	-34.44183333333333	0.0	0.0	-1.15	0.0	0.0	-0.4033333333333333	0.07586537784494028	0.0
BL158	39.778499999999994	-34.59602777777778	0.0	0.0	-0.8500000000000001	0.0	0.0	-0.3095165150789852	0.21853044537445018	0.0
BL160	39.75724999999999	-34.455333333333336	0.0	0.0	-0.8700000000000001	0.0	0.0	-0.28946902654867257	0.10198039027185568	0.0
BL163	39.681416666666664	-34.540388888888884	0.0	0.0	-0.74	0.0	0.0	-0.13136728775707474	0.1347425528760516	0.0
BL166	39.81670833333333	-34.50358333333333	0.0	0.0	-0.89	0.0	0.0	-0.1577306524704122	0.11115554667022046	0.0
BL168	39.811583333333324	-34.45827777777778	0.0	0.0	-0.9	0.0	0.0	-0.3043362831858407	0.12283683848458854	0.0
BL171	39.814499999999995	-34.51291666666667	0.0	0.0	-0.92	0.0	0.0	-0.20106060606060605	0.0946337971105226	0.0
BL173	39.80983333333332	-34.57841666666667	0.0	0.0	-0.87	0.0	0.0	-0.22686779327213244	0.2906314963431642	0.0
BL185	39.86529166666666	-34.63013888888889	0.0	0.0	-0.77	0.0	0.0	-0.14370106761565837	0.19601587237318874	0.0
BL190	39.82416666666666	-34.51577777777778	0.0	0.0	-0.79	0.0	0.0	-0.38160224591097724	0.1167142760000773	0.0
BL195	39.83420833333333	-34.5325	0.0	0.0	-0.98	0.0	0.0	-0.27999999999999997	0.0565685424949238	0.0
BL196	39.89195833333333	-34.55922222222222	0.0	0.0	-1.04	0.0	0.0	-0.3260770031217482	0.1766352173265569	0.0
BL197	39.872208333333326	-34.443194444444444	0.0	0.0	-0.8900000000000001	0.0	0.0	-0.36015151515151517	0.15369522511198005	0.0
BL203	39.96099999999999	-34.44638888888888	0.0	0.0	-0.8399999999999999	0.0	0.0	-0.3115991471215352	0.037416573867739424	0.0
BL205	39.908583333333326	-34.61838888888889	0.0	0.0	-0.71	0.0	0.0	-0.10457726422003417	0.06531972647421809	0.0
BL208	39.887249999999995	-34.53505555555555	0.0	0.0	-0.6799999999999999	0.0	0.0	-0.35444444444444445	0.13274871834493251	0.0
BL210	39.94854166666666	-34.4515	0.0	0.0	-0.76	0.0	0.0	-0.20909336355454822	0.1778263822446552	0.0
BL211	39.963249999999995	-34.499611111111115	0.0	0.0	-0.62	0.0	0.0	-0.09832643089115992	0.16083117442419761	0.0
BL213	39.959083333333325	-34.599805555555555	0.0	0.0	-0.9400000000000001	0.0	0.0	-0.2721604938271605	0.14007934259633795	0.0
BL216	39.92466666666666	-34.509972222222224	0.0	0.0	-0.79	0.0	0.0	-0.16944751381215467	0.25978623691198294	0.0
BL218	39.961541666666655	-34.47680555555556	0.0	0.0	-0.63	0.0	0.0	-0.26674463937621834	0.2251419305435771	0.0
BL221	39.882708333333326	-34.48886111111111	0.0	0.0	-0.83	0.0	0.0	-0.43348604442997807	0.11145502331533659	0.0
BL227	39.93854166666666	-34.53272222222222	0.0	0.0	-0.8699999999999999	0.0	0.0	-0.4837352464707244	0.2683695627716046	0.0
BL228	39.97433333333333	-34.499	0.0	0.0	-0.8699999999999999	0.0	0.0	-0.34823093823744816	0.07363574011458174	0.0
BL229	39.853333333333325	-34.57725000000001	0.0	0.0	-0.68	0.0	0.0	-0.2166350710900474	0.1630950643030009	0.0
BL233	39.97324999999999	-34.630583333333334	0.0	0.0	-0.65	0.0	0.0	-0.3304424778761062	0.2164871050817269	0.0
BL239	39.94620833333333	-34.530499999999996	0.0	0.0	-0.94	0.0	0.0	-0.23130553390491038	0.08806563209081938	0.0
BL242	39.866791666666664	-34.567	0.0	0.0	-1.1400000000000001	0.0	0.0	-0.19663716814159293	0.09741092797468306	0.0
BL247	39.92945833333333	-34.67177777777778	0.0	0.0	-0.84	0.0	0.0	-0.1540909090909091	0.19612920911140866	0.0
BL250	39.937625	-34.66975	0.0	0.0	-0.64	0.0	0.0	-0.4564438158909746	0.23790754506740636	0.0
BL253	39.89199999999999	-34.55266666666667	0.0	0.0	-0.7000000000000001	0.0	0.0	-0.29840796019900495	0.2694851057521032	0.0
BL257	39.988749999999996	-34.522444444444446	0.0	0.0	-0.54	0.0	0.0	-0.3549019607843137	0.19595917942265423	0.0
BL258	39.956999999999994	-34.48066666666667	0.0	0.0	-0.5800000000000001	0.0	0.0	-0.21564792176039121	0.1239175353029407	0.0
BL260	39.98074999999999	-34.4985	0.0	0.0	-0.86	0.0	0.0	-0.3481481481481481	0.196468827043885	0.0
BL261	39.99083333333333	-34.446888888888886	0.0	0.0	-0.7799999999999999	0.0	0.0	-0.4468181818181818	0.17211107524567448	0.0
BL266	40.04166666666666	-34.49966666666667	0.0	0.0	-1.46	0.0	0.0	-0.4612770682953914	0.11556623882239811	0.0
BL267	40.07291666666666	-34.435027777777776	0.0	0.0	-0.74	0.0	0.0	-0.28694711172077425	0.15062831370260005	0.0
BL269	39.9925	-34.53480555555555	0.0	0.0	-0.7999999999999999	0.0	0.0	-0.393436754176611	0.11841546445554407	0.0
BL278	40.018249999999995	-34.453138888888894	0.0	0.0	-0.73	0.0	0.0	-0.12608180839612487	0.28051539866625663	0.0
BL295	40.11133333333333	-34.44911111111111	0.0	0.0	-0.6599999999999999	0.0	0.0	-0.22304962241613188	0.22691163233490014	0.0
BL300	40.07458333333333	-34.45019444444445	0.0	0.0	-0.9199999999999999	0.0	0.0	-0.3189013212712772	0.14636332266733432	0.0
BL304	40.02287499999999	-34.54519444444444	0.0	0.0	-0.9700000000000001	0.0	0.0	-0.21017699115044247	0.08806563209081938	0.0
BL315	40.10091666666666	-34.43888888888888	0.0	0.0	-0.7799999999999999	0.0	0.0	-0.4599186991869918	0.07039570693980961	0.0
BL323	40.06983333333332	-34.49288888888889	0.0	0.0	-0.9199999999999999	0.0	0.0	-0.4587543182280024	0.16753109164172086	0.0
