# our [Mn/H]	error(our [Mn/H])	hires [Mn/H]	error(hires [Mn/H])	separation (arcsec)	North+12
-5.319111151811650728e-02	1.453966572758431108e-01	-4.334860444299780680e-01	4.546448378173795907e-02	2.351334328167428434e-01	North+12
-2.443212319573400126e-01	3.574055435679338033e-01	-2.313055339049103765e-01	4.145634107251640332e-02	2.034090708299639916e-06	North+12
2.316537118555929142e-01	3.123290328764627422e-01	-3.549019607843136859e-01	6.674668400533512180e-02	2.000000002141325839e-01	North+12
3.617883222434248314e-02	2.991267165416175988e-01	-2.156479217603912146e-01	6.526979928930762287e-02	1.999984741779939068e-01	North+12
-1.045577496430136755e-01	2.453715675253133055e-01	-3.934367541766110032e-01	5.715824034328568365e-02	1.235559812155845039e-01	North+12
