Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
BL038	40.08520833333333	-34.40002777777778	0.0	0.0	-0.91	0.0	0.0	-0.202738959647661	0.054987635363343654	0.0
BL045	40.03133333333332	-34.39216666666667	0.0	0.0	-1.05	0.0	0.0	-0.3990298507462686	0.036282473874417125	0.0
BL065	39.84229166666666	-34.32786111111111	0.0	0.0	-1.44	0.0	0.0	-0.41895434941817883	0.04546448378173796	0.0
BL076	39.881208333333326	-34.38475	0.0	0.0	-0.8600000000000001	0.0	0.0	-0.3502332037756802	0.03958698488860694	0.0
BL077	39.96424999999999	-34.355805555555555	0.0	0.0	-0.7899999999999998	0.0	0.0	-0.42007462686567165	0.036282473874417125	0.0
BL081	39.983374999999995	-34.40291666666666	0.0	0.0	-0.6300000000000001	0.0	0.0	-0.32436418786040466	0.05715672404564383	0.0
BL084	39.678999999999995	-34.430305555555556	0.0	0.0	-0.87	0.0	0.0	-0.4259504132231404	0.038181818181818185	0.0
BL091	39.767958333333326	-34.42188888888889	0.0	0.0	-0.98	0.0	0.0	-0.33338983050847454	0.04209217756815842	0.0
BL092	39.70533333333333	-34.40136111111111	0.0	0.0	-0.9199999999999999	0.0	0.0	-0.6020353982300884	0.04789368757711723	0.0
BL096	39.809708333333326	-34.378194444444446	0.0	0.0	-0.7100000000000001	0.0	0.0	-0.5636296143534748	0.06462289677334838	0.0
BL097	39.76695833333333	-34.39797222222222	0.0	0.0	-0.9200000000000002	0.0	0.0	-0.249504132231405	0.038181818181818185	0.0
BL100	39.733333333333334	-34.412444444444446	0.0	0.0	-0.94	0.0	0.0	-0.5305385896724041	0.03958698488860694	0.0
BL104	39.81079166666666	-34.38916666666667	0.0	0.0	-0.98	0.0	0.0	-0.26246724713158115	0.04546448378173796	0.0
BL113	39.784	-34.614805555555556	0.0	0.0	-0.76	0.0	0.0	-0.26842105263157895	0.04980344139835737	0.0
BL115	39.68104166666666	-34.53480555555555	0.0	0.0	-1.47	0.0	0.0	-0.44	0.04041451884327381	0.0
BL123	39.72395833333333	-34.50183333333333	0.0	0.0	-0.98	0.0	0.0	-0.2626989619377163	0.04235294117647058	0.0
BL125	39.78541666666666	-34.515388888888886	0.0	0.0	-0.75	0.0	0.0	-0.32377112773621497	0.046608442480966086	0.0
BL132	39.72341666666666	-34.551249999999996	0.0	0.0	-0.9199999999999999	0.0	0.0	-0.2070937635412153	0.05715672404564383	0.0
BL138	39.817499999999995	-34.61672222222222	0.0	0.0	-1.01	0.0	0.0	-0.07891327541533301	0.05432098765432099	0.0
BL140	39.79816666666666	-34.51241666666667	0.0	0.0	-0.83	0.0	0.0	-0.4691866028708133	0.04980344139835738	0.0
BL141	39.79579166666666	-34.476222222222226	0.0	0.0	-0.8400000000000001	0.0	0.0	-0.39586419753086416	0.043997755273829625	0.0
BL146	39.67399999999999	-34.482888888888894	0.0	0.0	-0.93	0.0	0.0	-0.22765432098765434	0.043997755273829625	0.0
BL149	39.73829166666666	-34.59438888888889	0.0	0.0	-0.9199999999999999	0.0	0.0	-0.40144880989044834	0.052533340450220053	0.0
BL150	39.80808333333333	-34.47669444444445	0.0	0.0	-0.8200000000000001	0.0	0.0	-0.2562121212121212	0.04923659639173309	0.0
BL151	39.751208333333324	-34.50833333333333	0.0	0.0	-0.88	0.0	0.0	-0.23606194690265486	0.04789368757711723	0.0
BL155	39.668499999999995	-34.59027777777778	0.0	0.0	-0.71	0.0	0.0	-0.2295373665480427	0.05368949876447043	0.0
BL156	39.77341666666666	-34.44183333333333	0.0	0.0	-1.15	0.0	0.0	-0.4033333333333333	0.046188021535170064	0.0
