Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Fe/H]error	[Mn/Fe]	[Mn/Fe]error
SAGA_UMi_000223	U.Ural+,MNRAS, 449, 761, 2015	15 05 52.04	+66 41 30.05	4290	0.5	-2.13	-2.13	0.19	-0.35	0.12
SAGA_UMi_000224	U.Ural+,MNRAS, 449, 761, 2015	15 02 01.53	+66 49 22.36	4580	1.6	-2.67	-2.67	0.26	0.29	0.19
SAGA_UMi_000225	U.Ural+,MNRAS, 449, 761, 2015	15 02 25.58	+66 55 25.39	4540	1.1	-2.12	-2.12	0.17	-0.15	0.17
