Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Fe/H]error	[Mn/Fe]	[Mn/Fe]error
SAGA_UMi_000001	M.D.Shetrone+,ApJ, 548, 592, 2001	15 08 27.23	+67 10 07.7	4075	0.4	-1.68	-1.68	0.11	-0.39	0.1
SAGA_UMi_000002	M.D.Shetrone+,ApJ, 548, 592, 2001	15 08 34.41	+67 10 34.1	4325	0.3	-1.91	-1.91	0.11	-0.37	0.12
SAGA_UMi_000003	M.D.Shetrone+,ApJ, 548, 592, 2001	15 10 10.14	+67 10 37.7	4625	1.3	-2.18	-2.18	0.12	-0.14	note:upperlimit
SAGA_UMi_000004	M.D.Shetrone+,ApJ, 548, 592, 2001	15 10 09.04	+67 12 52.3	4300	0.4	-2.01	-2.01	0.11	-0.41	0.1
SAGA_UMi_000005	M.D.Shetrone+,ApJ, 548, 592, 2001	15 08 55.48	+67 15 16.3	4325	0.1	-2.17	-2.17	0.12	-0.36	0.18
SAGA_UMi_000006	M.D.Shetrone+,ApJ, 548, 592, 2001	15 09 58.62	+67 16 19.8	4325	0.3	-1.45	-1.45	0.11	-0.4	0.08
