Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Fe/H]error	[Mn/Fe]	[Mn/Fe]error
SAGA_LeoI_000001	M.Shetrone+,AJ, 125, 684, 2003	10 08 22.06	+12 20 20.8	4250	0.8	-1.52	-1.52	0.02	-0.35	0.11401754251
SAGA_LeoI_000002	M.Shetrone+,AJ, 125, 684, 2003	10 08 33.52	+12 20 45.0	4200	0.5	-1.06	-1.06	0.02	-0.39	0.12206555615
