Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Fe/H]error	[Mn/Fe]	[Mn/Fe]error
SAGA_UMaII_000012	A.Frebel+,ApJ, 708, 560, 2010	08 52 33.50	+63 05 01.33	4600	0.6	3.23	-3.28	0.16	0.25	note: upperlimit
SAGA_UMaII_000013	A.Frebel+,ApJ, 708, 560, 2010	08 52 59.07	+63 05 54.81	4550	1	2.34	-2.39	0.15	-0.56	0.1
SAGA_UMaII_000014	A.Frebel+,ApJ, 708, 560, 2010	08 49 53.46	+63 08 21.94	4850	1.4	3.1	-3.15	0.16	-0.01	0.1
