Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
2M21323276-0108366	323.1365	-1.143519	4517.2429999999995	2.558659	0.046063	0.0	0.15895	-0.10918530000000001	0.01982106	0.0
2M21322959+0004392	323.123329	0.077573	4732.059	2.412242	-0.030503	0.0	0.064296	-0.03985544	0.022211900000000003	0.0
2M21322642-0103175	323.110115	-1.054865	4471.891	2.287989	0.11871	0.0	0.050418	0.03766118	0.01874689	0.0
2M21322243-0014291	323.093475	-0.241443	4075.027	1.353935	-0.18175999999999998	0.0	0.10597999999999999	-0.09082596	0.0194668	0.0
2M21322037-0055496	323.084913	-0.930465	4529.181	2.18296	-0.36335	0.0	0.1141	-0.1681741	0.03345574	0.0
2M21321150-0022533	323.047946	-0.381497	4530.579000000001	2.452268	0.36075	0.0	0.09444	0.03820679	0.01669027	0.0
2M21362657-0017579	324.110727	-0.299437	4592.059	2.625665	0.093821	0.0	0.12302	-0.0884765	0.02646067	0.0
2M21362650-0030020	324.110457	-0.5005729999999999	4806.015	2.628731	-0.35863	0.0	0.25372	-0.2048147	0.03720193	0.0
2M21361816-0053567	324.075685	-0.899093	4816.912	2.416743	-0.29693	0.0	0.253	-0.1441717	0.02653283	0.0
2M21361590-0011281	324.06625499999996	-0.191152	4413.6359999999995	2.093269	-0.15988	0.0	0.18264	-0.14602839999999997	0.02150292	0.0
2M21361583-0055120	324.065992	-0.920017	4947.225	3.388536	0.17636	0.0	0.017805	0.1032442	0.02123437	0.0
2M21355785-0015482	323.99106800000004	-0.263392	4901.157	2.972159	-0.26291	0.0	0.21101999999999999	-0.06074114	0.03520824	0.0
2M21352579-0058526	323.857461	-0.9813049999999999	4377.075	2.1738049999999998	0.098341	0.0	0.082925	-0.006842747	0.01837793	0.0
2M21351097-0036279	323.795743	-0.6077520000000001	4898.848	2.74475	-0.62952	0.0	0.28295	-0.20559960000000002	0.03861992	0.0
2M21345581-0052594	323.732579	-0.883181	4902.712	3.261428	-0.32147	0.0	0.21944	-0.157659	0.027674599999999997	0.0
2M21343654-0036409	323.652262	-0.611382	4855.25	2.393196	-0.26973	0.0	0.17737	-0.12485710000000001	0.02900128	0.0
2M21342363-0041490	323.598482	-0.696959	4947.985	2.6660939999999997	-0.08037000000000001	0.0	0.079943	-0.01183602	0.03282771	0.0
2M21341979-0017282	323.582467	-0.291173	5021.859	2.379011	-0.58613	0.0	0.27587	-0.26432449999999996	0.04757594	0.0
2M21340886-0053254	323.53695600000003	-0.8904030000000001	4174.363	1.7668970000000002	0.16639	0.0	0.071112	-0.05166437	0.01654499	0.0
2M21340881-0105216	323.536739	-1.0893549999999999	4982.97	3.046221	-0.03889	0.0	0.024715	-0.08248789999999999	0.02424388	0.0
2M21335130+0007381	323.463754	0.127251	4268.755	1.712391	-0.14839000000000002	0.0	0.22564	-0.10901620000000001	0.02036679	0.0
2M21333489-0100056	323.39538500000003	-1.001578	4884.599	3.510594	0.4097	0.0	0.010997	0.07381049	0.02461719	0.0
2M21323827-0037578	323.15945899999997	-0.632736	4143.2429999999995	1.484294	-0.30446	0.0	0.24816	-0.1929619	0.02133263	0.0
2M21321043-0028216	323.043479	-0.47269300000000003	4478.7029999999995	2.165835	-0.49572	0.0	0.29907	-0.2462438	0.03291238	0.0
2M21320030-0104144	323.001282	-1.070669	4860.021	3.0496	0.044824	0.0	0.04093	-0.0399611	0.03359146	0.0
2M21315400-0058029	322.97502099999997	-0.967483	4308.854	1.960474	-0.023882	0.0	0.14661	-0.09188589	0.01924419	0.0
2M21315170-0011278	322.965439	-0.19106900000000002	4455.253	2.032153	-0.59735	0.0	0.23012	-0.4016436	0.04760509	0.0
2M21314176-0114236	322.924004	-1.239905	4930.6759999999995	3.1153049999999998	-0.062032000000000004	0.0	0.055375	-0.01979495	0.03040652	0.0
2M21313313-0042418	322.888074	-0.7116180000000001	4667.663	2.578434	0.06180700000000001	0.0	0.033152	-0.04256103	0.02064693	0.0
2M21312041-0014410	322.835062	-0.24473699999999998	4796.41	2.5008	0.08823500000000001	0.0	0.022719	-0.009876683	0.02122634	0.0
2M21310553-0031571	322.773074	-0.532554	4804.288	2.905488	-0.24788000000000002	0.0	0.19851	-0.14564129999999997	0.03908906	0.0
2M21305723-0007149	322.738477	-0.120814	4329.803	1.932723	-0.16777999999999998	0.0	0.22080999999999998	-0.14183729999999997	0.02100909	0.0
2M21305195-0023341	322.716493	-0.392806	4741.420999999999	2.896425	-0.1664	0.0	0.20087	-0.14788220000000002	0.03121867	0.0
2M21362657-0017579	324.110727	-0.299437	4606.274	2.552189	0.09677100000000001	0.0	0.14257999999999998	-0.05750442	0.03290775	0.0
2M21361816-0053567	324.075685	-0.899093	4794.027	2.39118	-0.29719	0.0	0.25367	-0.1530653	0.02633699	0.0
2M21360818-0029278	324.034092	-0.49106000000000005	4573.347	2.429001	0.40007	0.0	0.037292	0.08332881	0.01655926	0.0
2M21360156-0040008	324.006507	-0.666902	4465.573	1.775955	-0.90341	0.0	0.28944000000000003	-0.2955295	0.033265699999999995	0.0
2M21355811-0041268	323.992143	-0.69079	4812.872	2.353678	-0.32604	0.0	0.21933000000000002	-0.1244267	0.0269351	0.0
2M21355785-0015482	323.99106800000004	-0.263392	4880.22	2.9698450000000003	-0.24843	0.0	0.14102	-0.08549909	0.03905202	0.0
