# our [Mn/H]	error(our [Mn/H])	hires [Mn/H]	error(hires [Mn/H])	separation (arcsec)	North+12
-0.17667848247365447	0.152011414891276	-0.27339019189765457	0.10230672835481872	0.36086606973287866	North+12
-0.51949741952848	0.15489854785428028	-0.20752577319587628	0.11575836902790226	0.1280372020167973	North+12
-0.05319111151811651	0.1445578880218074	-0.43348604442997807	0.11145502331533659	0.23513343281674284	North+12
-0.24432123195734	0.1891580578186406	-0.23130553390491038	0.08806563209081938	2.03409070829964e-06	North+12
-0.10455774964301368	0.2401754457461198	-0.393436754176611	0.11841546445554407	0.1235559812155845	North+12
