Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Fe/H]error	[Mn/Fe]	[Mn/Fe]error
SAGA_Scl_000002	M.Shetrone+,AJ, 125, 684, 2003	01 00 12.52	-33 43 01.3	4500	1	-1.66	-1.66	0.02	-0.38	0.08
SAGA_Scl_000003	M.Shetrone+,AJ, 125, 684, 2003	01 00 18.31	-33 42 12.2	4500	1.2	-1.56	-1.56	0.02	-0.53	0.08
SAGA_Scl_000004	M.Shetrone+,AJ, 125, 684, 2003	01 00 12.76	-33 41 16.0	4325	0.7	-1.77	-1.77	0.02	-0.43	0.09
SAGA_Scl_000005	M.Shetrone+,AJ, 125, 684, 2003	00 59 58.27	-33 41 08.7	4400	1.1	-1.24	-1.24	0.02	-0.44	0.09
