Star	EW5432	EWerror5432	HFS5432	[Mn/H]5432	[Mn/Fe]5432	[Mn/Fe]error5432	EW5516	EWerror5516	HFS5516	[Mn/H]5516	[Mn/Fe]5516	[Mn/Fe]error5516
ET275	90.0	11.8	-0.19	-1.74	-0.54	0.12	41.0	5.7	-0.08	-1.40	-0.20	0.09
ET299	26.0	5.6	-0.04	-2.02	-0.20	0.12	 	 	 	
ET300	62.0	10.4	-0.14	-2.18	-0.81	0.13	25.0	3.5	-0.06	-1.74	-0.37	0.10
ET317	58.0	8.3	-0.12	-2.19	-0.52	0.10	 	 	 	
ET320	18.0	4.2	-0.02	-2.60	-0.91	0.12	 	 	 	
ET321	51.0	7.0	-0.08	-2.41	-0.50	0.09	20.0	4.2	-0.04	-1.84	0.07	0.11
ET327	113.0	5.4	-0.46	-1.93	-0.62	0.07	50.0	5.2	-0.13	-1.48	-0.17	0.07
ET339	134.0	6.4	-0.66	-1.76	-0.69	0.09	62.0	5.4	-0.19	-1.38	-0.31	0.07
ET342	43.0	7.8	-0.08	-2.19	-0.86	0.12	42.0	7.4	-0.12	-1.34	-0.01	0.11
ET354	 	 	 	 	 	 	31.0	6.8	-0.09	-1.39	-0.34	0.13
ET363	56.0	8.1	-0.08	-1.87	-0.61	0.10	23.0	7.3	-0.04	-1.58	-0.32	0.17
ET369	 	 	 	 	 	 	16.0	3.1	-0.03	-1.70	0.63	0.10
ET376	125.0	8.4	-0.40	-1.70	-0.55	0.10	67.0	6.1	-0.17	-1.31	-0.16	0.09
ET378	126.0	4.5	-0.66	-1.90	-0.74	0.09	30.0	4.7	-0.07	-1.82	-0.66	0.11
ET379	 	 	 	 	 	 	 	 	 	
ET382	26.0	6.8	-0.06	-2.51	-0.79	0.15	27.0	6.6	-0.08	-1.56	0.16	0.14
ET384	56.0	9.2	-0.16	-2.07	-0.63	0.12	 	 	 	
ET389	58.0	7.0	-0.15	-2.30	-0.72	0.11	 	 	 	
ET392	87.0	8.7	-0.27	-1.79	-0.33	0.10	28.0	7.4	-0.06	-1.57	-0.11	0.15
