Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Fe/H]error	[Mn/Fe]	[Mn/Fe]error
SAGA_Scl_000058	P.Jablonka+,AAP, 583, A67, 2015	01 00 12.94	-33 42 03.8	4540	1.15	-2.45	-2.44	0.08	-0.23	0.15
SAGA_Scl_000444	P.Jablonka+,AAP, 583, A67, 2015	00 57 34.84	-33 39 45.6	4600	1.19	-3.3	-3.31	0.09	-0.19	0.18
SAGA_Scl_000445	P.Jablonka+,AAP, 583, A67, 2015	00 57 10.21	-33 28 35.7	4550	1.05	-3.88	-3.88	0.08	-0.58	0.18
SAGA_Scl_000448	P.Jablonka+,AAP, 583, A67, 2015	01 01 26.74	-33 02 59.8	4300	0.63	-3.45	-3.45	0.07	-0.19	0.12
SAGA_Scl_000450	P.Jablonka+,AAP, 583, A67, 2015	01 01 22.23	-33 46 21.3	4400	1.01	-3.2	-3.22	0.08	-0.81	0.15
