# our [Mn/H]	error(our [Mn/H])	hires [Mn/H]	error(hires [Mn/H])	separation (arcsec)	source
-4.898450127594080605e-01	1.814833895310138112e-01	-4.099999999999999756e-01	1.300000000000000044e-01	8.391597531004794774e+00	Yong+14
-5.994114432246746560e-01	1.885486147391214617e-01	-3.200000000000000067e-01	1.600000000000000033e-01	7.512422731931402531e+00	Yong+14
