Wavelength (A), HFS flag, Excitation potential (eV), log(gf), SclH400, SclH459, SclH461, SclH479, SclH482, FnxM12, FnxM21, FnxM25, LeoI2, LeoI5
5407.42, *,	2.14, -1.743,  ,   ,  33,   ,  74,  197,	   ,	   ,
5420.36, *, 2.14, -1.460, 36, 36, 35, 98,  79,	231,	165,	   ,	100
5432.55, *, 0.00, -3.795, 57, 50, 60, 130, 122,	   ,	206,	185,	146
5516.77,  ,	2.18, -1.847,  ,   ,	, 43,  303,	160,	125,	107,  	53
6013.51, *, 3.07, -0.252, 31, 27, 27, 64,  60,	169,	125,	116,  	57
6021.82, *, 3.08,  0.035, 47, 50, 47, 82,  79,	162,	140,	134,  	86
