apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.5092.2M15181629+0202099,2M15181629+0202099,229.567898,2.036092,4641.24,1.841092,0.3775,-0.97776,0.10796,-0.2045696,0.03676613
apogee.apo25m.s.stars.5092.2M15182236+0150365,2M15182236+0150365,229.593174,1.843483,4938.824,3.080804,0.18884,-0.28492,0.18816,-0.1561085,0.0383218
apogee.apo25m.s.stars.5092.2M15182534+0222147,2M15182534+0222147,229.605594,2.370767,4861.398,2.268853,0.19264,-0.83252,0.35969,-0.2227023,0.06433671
apogee.apo25m.s.stars.5092.2M15185763+0200362,2M15185763+0200362,229.740162,2.010062,4949.991,2.836243,0.15278,-0.55297,0.28712,-0.190368,0.04102827
apogee.apo25m.s.stars.5092.2M15192858+0224222,2M15192858+0224222,229.869116,2.406194,5035.516,2.942344,0.13924,-0.86941,0.26555,-0.2802748,0.05492734
apogee.apo25m.s.stars.5092.2M15193175+0222472,2M15193175+0222472,229.882333,2.379786,4755.844,2.993926,0.12643,0.058899,0.11509,-0.05279247,0.02129148
apogee.apo25m.s.stars.5092.2M15195883+0124245,2M15195883+0124245,229.99514,1.406824,4604.494,2.489293,0.1279,-0.27744,0.19655,-0.1868598,0.02455364
apogee.apo25m.s.stars.5092.2M15201286+0143132,2M15201286+0143132,230.053622,1.720348,5031.969,2.378179,0.18128,-0.53392,0.28915,-0.1440281,0.05227815
apogee.apo25m.s.stars.5092.2M15201415+0112117,2M15201415+0112117,230.058988,1.203265,4897.019,3.379123,0.11107,0.19827,0.021188,0.05547391,0.02660959
apogee.apo25m.s.stars.5092.2M15202970+0151188,2M15202970+0151188,230.123784,1.85524,4741.832,2.760166,0.10151,-0.26073,0.23335,-0.1111645,0.02715474
apogee.apo25m.s.stars.5092.2M15203065+0142080,2M15203065+0142080,230.12771,1.702243,4933.699,3.278677,0.10326,-0.27752,0.21607,-0.1752057,0.03119084
apogee.apo25m.s.stars.5092.2M15203888+0200360,2M15203888+0200360,230.162013,2.010021,4842.986,3.07553,0.10484,-0.15397,0.20037,-0.1130545,0.02832937
apogee.apo25m.s.stars.5092.2M15210687+0125528,2M15210687+0125528,230.27864,1.431347,4542.82,2.13537,0.18894,-0.47403,0.19315,-0.1626813,0.02677926
apogee.apo25m.s.stars.5092.2M15212003+0154226,2M15212003+0154226,230.333491,1.906288,4455.38,1.970858,0.19001,-0.48612,0.29318,-0.2222735,0.02619521
apogee.apo25m.s.stars.5092.2M15213544+0136261,2M15213544+0136261,230.397676,1.607252,4908.034,2.91829,-0.099919,-0.60455,0.203,-0.1685137,0.05056451
apogee.apo25m.s.stars.5092.2M15220842+0146163,2M15220842+0146163,230.535099,1.771203,4730.065,2.7483,0.12299,-0.027333,0.054256,-0.02393885,0.02215781
