ID	RA	Dec	Teff	logg	[Fe/H]	[Mn/Fe]	error
Scl 11_1_4296	00:59:38.75	−33:46:14.6	4770	-3.77	-0.28	0.09
Scl 6_6_402	01:00:00.39	−33:29:15.2	4945	-3.53	-0.77	0.16
Scl 07-50	01:00:01.12	−33:59:21.4	4558	-4.05	-1.06	0.12
Scl 07-49	01:00:05.00	−34:01:16.6	4495	-3.31	-0.02	0.09
S1020549	01:00:47.83	−33:41:03.2	4702	-3.68	-0.90	0.21
