ID 	RA	Dec	[Fe/H]	[Mn/H]	[Mn/Fe]	error	Teff	logg
ET0381	01:00:12.94	−33:42:03.8	-2.75	-2.63	-0.19	0.15	4540	1.15
scl002_06	01:01:26.74	−33:02:59.8	-3.04	-3.60	-0.15	0.12	4300	0.63
scl_03_059	01:01:22.23	−33:46:21.3	-2.82	-3.99	-0.77	0.15	4400	1.01
scl031_11	00:57:10.21	−33:28:35.7	-3.61	-4.42	-0.54	0.18	4550	1.05
scl074_02	00:57:34.84	−33:39:45.6	-3.02	-3.46	-0.15	0.18	4600	1.19
