Cluster	OName	ID	Teff	log(g)	VTurb	[Fe/H]L	[Fe/H]	[Mn/Fe]	SimbadName	_RA	_DE
FIELD   	JS 	210295  	4750	 2.50	 1.55	-1.46	-1.48	-0.41	HD 210295                 	332.42269	-13.60541
FIELD   	JS 	214362  	5727	 2.62	 2.00	-1.87	-1.93	-0.50	HD 214362                 	339.49447	-22.64449
FIELD   	JS 	218857  	5103	 2.44	 1.90	-1.90	-2.08	-0.28	HD 218857                 	347.85248	-16.25112
FIELD   	JS 	221170  	4410	 1.09	 1.70	-2.35	-2.30	-0.38	HD 221170                 	352.37004	+30.43273
FIELD   	JS 	232078  	3875	 0.50	 2.10	-1.69	-1.74	-0.50	HD 232078                 	294.55030	+16.80712
FIELD   	JS 	233666  	5157	 2.00	 1.70	-1.79	-1.86	-0.22	HD 233666                 	145.58114	+53.47393
Cr 261  	   	1045    	4400	 1.50	 1.20	-0.16	-0.14	-0.41	Cl* Collinder 261 PJM 1045	189.53541	-68.35417
Cr 261  	   	1080    	4490	 2.20	 1.20	-0.11	-0.25	-0.45	Cl* Collinder 261 PJM 1080	189.53092	-68.37523
Cr 261  	   	1871    	4000	 0.70	 1.50	-0.31	-0.59	-0.22	Cl* Collinder 261 PJM 1871	189.43170	-68.33196
Cr 261  	   	2105    	4300	 1.50	 1.50	-0.32	-0.47	-0.21	Cl* Collinder 261 PJM 2105	189.39512	-68.39027
NGC 288 	   	20      	4050	 0.60	 1.75	-1.44	-1.62	-0.31	Cl* NGC 288 Can 20        	013.16792	-26.62500
NGC 288 	   	231     	4300	 1.10	 1.50	-1.41	-1.50	-0.32	                          	         	
NGC 288 	   	245     	4250	 0.80	 1.40	-1.41	-1.47	-0.30	                          	         	
NGC 288 	   	274     	4025	 0.70	 1.90	-1.37	-1.48	-0.33	                          	         	
NGC 288 	   	281     	4125	 0.60	 1.71	-1.42	-1.65	-0.29	                          	         	
NGC 288 	   	287     	4350	 1.20	 1.40	-1.45	-1.34	-0.44	                          	         	
NGC 288 	   	297     	4330	 1.20	 1.70	-1.41	-1.62	-0.23	                          	         	
NGC 288 	   	307     	4350	 1.20	 1.35	-1.40	-1.63	-0.24	                          	         	
NGC 288 	   	338     	4325	 1.30	 1.60	-1.37	-1.55	-0.28	                          	         	
NGC 288 	   	344     	4180	 0.80	 1.60	-1.36	-1.45	-0.32	                          	         	
NGC 288 	   	351     	4330	 1.20	 1.55	-1.30	-1.53	-0.36	                          	         	
NGC 288 	   	403     	3950	 0.20	 1.90	-1.43	-1.59	-0.32	                          	         	
NGC 288 	   	531     	3780	 0.10	 1.60	-1.31	-1.70	-0.42	Cl* NGC 288 OCH 531       	013.17137	-26.55753
NGC 362 	   	1137    	4000	 0.70	 2.00	-1.37	-1.51	-0.31	Cl* NGC 362 HAR 1137      	015.74248	-70.93098
NGC 362 	   	1159    	4125	 0.80	 1.90	-1.27	-1.37	-0.34	Cl* NGC 362 HAR 1159      	015.72123	-70.84190
NGC 362 	   	1334    	3975	 0.40	 1.95	-1.30	-1.37	-0.42	Cl* NGC 362 HAR 1334      	015.91000	-70.86809
