ID	Teff	logg	vturb	[Fe/H]	[Fe/H]err	[Mn/Fe]	[Mn/Fe]err	[Mn/Fe]upperlim	RA	Dec
UMa 177	4300	0.40	1.90	-2.01	0.11	-0.37	0.10	n
UMa 297	4075	0.40	2.30	-1.68	0.11	-0.35	0.10	n
UMa K	4325	0.10	2.00	-2.17	0.12	-0.32	0.18	n	15 08 55.4582929887	+67 15 16.252249198
UMa O	4325	0.30	1.80	-1.91	0.11	-0.33	0.12	n	15 08 34.4141636627	+67 10 34.074297498
UMa 199	4325	0.30	1.95	-1.45	0.11	-0.36	0.08	n	15 09 58.63	+67 16 20.0
UMa 168	4625	1.30	1.70	-2.18	0.12	-0.10		y
